anchor,hyponym,class,stimulus
vehicle,yacht,taxonomic_low_sim,"Given that yachts are daxable, is it true that vehicles are daxable? Answer with Yes/No:"
food,cucumber,taxonomic_high_sim,"Given that cucumbers are daxable, is it true that food is daxable? Answer with Yes/No:"
game,jigsaw puzzle,taxonomic_low_sim,"Given that jigsaw puzzles are daxable, is it true that games are daxable? Answer with Yes/No:"
vehicle,snowmobile,taxonomic_high_sim,"Given that snowmobiles are daxable, is it true that vehicles are daxable? Answer with Yes/No:"
mammal,kangaroo,taxonomic_low_sim,"Given that kangaroos are daxable, is it true that mammals are daxable? Answer with Yes/No:"
vehicle,hot-air balloon,taxonomic_low_sim,"Given that hot-air balloons are daxable, is it true that vehicles are daxable? Answer with Yes/No:"
clothing,swimsuit,taxonomic_high_sim,"Given that swimsuits are daxable, is it true that clothings are daxable? Answer with Yes/No:"
clothing,t-shirt,taxonomic_low_sim,"Given that t-shirts are daxable, is it true that clothings are daxable? Answer with Yes/No:"
animal,manatee,taxonomic_high_sim,"Given that manatees are daxable, is it true that animals are daxable? Answer with Yes/No:"
protective clothing,visor,taxonomic_high_sim,"Given that visors are daxable, is it true that protective clothing is daxable? Answer with Yes/No:"
clothing,turban,taxonomic_high_sim,"Given that turbans are daxable, is it true that clothings are daxable? Answer with Yes/No:"
electronic device,metal detector,taxonomic_high_sim,"Given that metal detectors are daxable, is it true that electronic devices are daxable? Answer with Yes/No:"
jewelry,hairpin,taxonomic_low_sim,"Given that hairpins are daxable, is it true that jewelry is daxable? Answer with Yes/No:"
accessory,lanyard,taxonomic_low_sim,"Given that lanyards are daxable, is it true that accessories are daxable? Answer with Yes/No:"
food,broccoli,taxonomic_high_sim,"Given that broccolis are daxable, is it true that food is daxable? Answer with Yes/No:"
mammal,guinea pig,taxonomic_low_sim,"Given that guinea pigs are daxable, is it true that mammals are daxable? Answer with Yes/No:"
jewelry,earring,taxonomic_high_sim,"Given that earrings are daxable, is it true that jewelry is daxable? Answer with Yes/No:"
breakfast,bread,taxonomic_high_sim,"Given that bread is daxable, is it true that breakfasts are daxable? Answer with Yes/No:"
women's clothing,bikini,taxonomic_low_sim,"Given that bikinis are daxable, is it true that women's clothings are daxable? Answer with Yes/No:"
clothing,sombrero,taxonomic_low_sim,"Given that sombreros are daxable, is it true that clothings are daxable? Answer with Yes/No:"
food,plum,taxonomic_high_sim,"Given that plums are daxable, is it true that food is daxable? Answer with Yes/No:"
weapon,whip,taxonomic_low_sim,"Given that whips are daxable, is it true that weapons are daxable? Answer with Yes/No:"
toy,teddy bear,taxonomic_low_sim,"Given that teddy bears are daxable, is it true that toys are daxable? Answer with Yes/No:"
food,caramel,taxonomic_high_sim,"Given that caramels are daxable, is it true that food is daxable? Answer with Yes/No:"
vegetable,onion,taxonomic_high_sim,"Given that onions are daxable, is it true that vegetables are daxable? Answer with Yes/No:"
livestock,ram,taxonomic_low_sim,"Given that rams are daxable, is it true that livestocks are daxable? Answer with Yes/No:"
tool,pen,taxonomic_low_sim,"Given that pens are daxable, is it true that tools are daxable? Answer with Yes/No:"
school supply,chalk,taxonomic_high_sim,"Given that chalks are daxable, is it true that school supplies are daxable? Answer with Yes/No:"
tool,handle,taxonomic_high_sim,"Given that handles are daxable, is it true that tools are daxable? Answer with Yes/No:"
furniture,workbench,taxonomic_high_sim,"Given that workbenches are daxable, is it true that furniture is daxable? Answer with Yes/No:"
toy,kite,taxonomic_high_sim,"Given that kites are daxable, is it true that toys are daxable? Answer with Yes/No:"
bird,pheasant,taxonomic_high_sim,"Given that pheasants are daxable, is it true that birds are daxable? Answer with Yes/No:"
clothing,pants,taxonomic_high_sim,"Given that pants are daxable, is it true that clothings are daxable? Answer with Yes/No:"
livestock,donkey,taxonomic_high_sim,"Given that donkeys are daxable, is it true that livestocks are daxable? Answer with Yes/No:"
tool,grinder,taxonomic_high_sim,"Given that grinders are daxable, is it true that tools are daxable? Answer with Yes/No:"
food,omelet,taxonomic_high_sim,"Given that an omelet is daxable, is it true that food is daxable? Answer with Yes/No:"
animal,whale,taxonomic_high_sim,"Given that whales are daxable, is it true that animals are daxable? Answer with Yes/No:"
animal,owl,taxonomic_high_sim,"Given that owls are daxable, is it true that animals are daxable? Answer with Yes/No:"
drink,juice,taxonomic_low_sim,"Given that juices are daxable, is it true that drinks are daxable? Answer with Yes/No:"
kitchen equipment,dishwasher,taxonomic_high_sim,"Given that dishwashers are daxable, is it true that kitchen equipment are daxable? Answer with Yes/No:"
clothing,coverall,taxonomic_high_sim,"Given that coveralls are daxable, is it true that clothings are daxable? Answer with Yes/No:"
food,lime,taxonomic_low_sim,"Given that limes are daxable, is it true that food is daxable? Answer with Yes/No:"
dessert,ice cream,taxonomic_low_sim,"Given that ice creams are daxable, is it true that desserts are daxable? Answer with Yes/No:"
headwear,football helmet,taxonomic_low_sim,"Given that football helmets are daxable, is it true that headwears are daxable? Answer with Yes/No:"
clothing,tube top,taxonomic_high_sim,"Given that tube tops are daxable, is it true that clothings are daxable? Answer with Yes/No:"
mammal,bull,taxonomic_low_sim,"Given that bulls are daxable, is it true that mammals are daxable? Answer with Yes/No:"
clothing,shorts,taxonomic_low_sim,"Given that shorts are daxable, is it true that clothings are daxable? Answer with Yes/No:"
food,bun,taxonomic_low_sim,"Given that buns are daxable, is it true that food is daxable? Answer with Yes/No:"
breakfast,ham,taxonomic_high_sim,"Given that hams are daxable, is it true that breakfasts are daxable? Answer with Yes/No:"
vehicle,carriage,taxonomic_high_sim,"Given that carriages are daxable, is it true that vehicles are daxable? Answer with Yes/No:"
candy,jelly bean,taxonomic_low_sim,"Given that jelly beans are daxable, is it true that candies are daxable? Answer with Yes/No:"
container,glass,taxonomic_low_sim,"Given that glasses are daxable, is it true that containers are daxable? Answer with Yes/No:"
tool,cable,taxonomic_low_sim,"Given that cables are daxable, is it true that tools are daxable? Answer with Yes/No:"
furniture,ottoman,taxonomic_high_sim,"Given that an ottoman is daxable, is it true that furniture is daxable? Answer with Yes/No:"
fruit,coconut,taxonomic_low_sim,"Given that coconuts are daxable, is it true that fruits are daxable? Answer with Yes/No:"
container,oilcan,taxonomic_low_sim,"Given that oilcans are daxable, is it true that containers are daxable? Answer with Yes/No:"
container,thermos,taxonomic_high_sim,"Given that a thermos is daxable, is it true that containers are daxable? Answer with Yes/No:"
drink,wine,taxonomic_high_sim,"Given that wines are daxable, is it true that drinks are daxable? Answer with Yes/No:"
food,yolk,taxonomic_high_sim,"Given that egg yolks are daxable, is it true that food is daxable? Answer with Yes/No:"
clothing,jacket,taxonomic_low_sim,"Given that jackets are daxable, is it true that clothings are daxable? Answer with Yes/No:"
home decor,cornucopia,taxonomic_low_sim,"Given that cornucopias are daxable, is it true that home decors are daxable? Answer with Yes/No:"
tool,nail,taxonomic_low_sim,"Given that nails are daxable, is it true that tools are daxable? Answer with Yes/No:"
animal,elephant,taxonomic_low_sim,"Given that elephants are daxable, is it true that animals are daxable? Answer with Yes/No:"
medical equipment,stethoscope,taxonomic_high_sim,"Given that stethoscopes are daxable, is it true that medical equipments are daxable? Answer with Yes/No:"
home decor,place mat,taxonomic_low_sim,"Given that place mats are daxable, is it true that home decors are daxable? Answer with Yes/No:"
toy,rocking horse,taxonomic_low_sim,"Given that rocking horses are daxable, is it true that toys are daxable? Answer with Yes/No:"
water vehicle,hovercraft,taxonomic_high_sim,"Given that hovercrafts are daxable, is it true that water vehicles are daxable? Answer with Yes/No:"
sea animal,starfish,taxonomic_high_sim,"Given that a starfish is daxable, is it true that sea animals are daxable? Answer with Yes/No:"
tool,wire cutters,taxonomic_high_sim,"Given that wire cutters are daxable, is it true that tools are daxable? Answer with Yes/No:"
game,shuffleboard,taxonomic_low_sim,"Given that shuffleboards are daxable, is it true that games are daxable? Answer with Yes/No:"
food,popcorn,taxonomic_high_sim,"Given that popcorns are daxable, is it true that food is daxable? Answer with Yes/No:"
tool,vacuum,taxonomic_low_sim,"Given that vacuum cleaners are daxable, is it true that tools are daxable? Answer with Yes/No:"
mammal,pig,taxonomic_low_sim,"Given that pigs are daxable, is it true that mammals are daxable? Answer with Yes/No:"
jewelry,ring,taxonomic_high_sim,"Given that rings are daxable, is it true that jewelry is daxable? Answer with Yes/No:"
sea animal,dolphin,taxonomic_high_sim,"Given that dolphins are daxable, is it true that sea animals are daxable? Answer with Yes/No:"
food,candy bar,taxonomic_low_sim,"Given that candy bars are daxable, is it true that food is daxable? Answer with Yes/No:"
weapon,torpedo,taxonomic_high_sim,"Given that torpedoes are daxable, is it true that weapons are daxable? Answer with Yes/No:"
animal,porcupine,taxonomic_low_sim,"Given that porcupines are daxable, is it true that animals are daxable? Answer with Yes/No:"
toy,pinwheel,taxonomic_high_sim,"Given that pinwheels are daxable, is it true that toys are daxable? Answer with Yes/No:"
headwear,turban,taxonomic_high_sim,"Given that turbans are daxable, is it true that headwears are daxable? Answer with Yes/No:"
animal,alligator,taxonomic_high_sim,"Given that alligators are daxable, is it true that animals are daxable? Answer with Yes/No:"
food,fast food,taxonomic_high_sim,"Given that fast foods are daxable, is it true that food is daxable? Answer with Yes/No:"
accessory,visor,taxonomic_high_sim,"Given that visors are daxable, is it true that accessories are daxable? Answer with Yes/No:"
food,macadamia,taxonomic_low_sim,"Given that macadamia nuts are daxable, is it true that food is daxable? Answer with Yes/No:"
container,footbath,taxonomic_low_sim,"Given that footbaths are daxable, is it true that containers are daxable? Answer with Yes/No:"
headwear,sombrero,taxonomic_low_sim,"Given that sombreros are daxable, is it true that headwears are daxable? Answer with Yes/No:"
weapon,razor blade,taxonomic_high_sim,"Given that razor blades are daxable, is it true that weapons are daxable? Answer with Yes/No:"
animal,bird,taxonomic_high_sim,"Given that birds are daxable, is it true that animals are daxable? Answer with Yes/No:"
accessory,boa,taxonomic_low_sim,"Given that boas are daxable, is it true that accessories are daxable? Answer with Yes/No:"
office supply,punch,taxonomic_low_sim,"Given that punches are daxable, is it true that office supplies are daxable? Answer with Yes/No:"
animal,seahorse,taxonomic_low_sim,"Given that seahorses are daxable, is it true that animals are daxable? Answer with Yes/No:"
accessory,purse,taxonomic_high_sim,"Given that purses are daxable, is it true that accessories are daxable? Answer with Yes/No:"
musical instrument,bagpipe,taxonomic_low_sim,"Given that bagpipes are daxable, is it true that musical instruments are daxable? Answer with Yes/No:"
tool,pickax,taxonomic_high_sim,"Given that pickaxes are daxable, is it true that tools are daxable? Answer with Yes/No:"
vegetable,scallion,taxonomic_high_sim,"Given that scallions are daxable, is it true that vegetables are daxable? Answer with Yes/No:"
container,keg,taxonomic_low_sim,"Given that kegs are daxable, is it true that containers are daxable? Answer with Yes/No:"
tool,gavel,taxonomic_low_sim,"Given that gavels are daxable, is it true that tools are daxable? Answer with Yes/No:"
food,crouton,taxonomic_low_sim,"Given that croutons are daxable, is it true that food is daxable? Answer with Yes/No:"
animal,scorpion,taxonomic_low_sim,"Given that scorpions are daxable, is it true that animals are daxable? Answer with Yes/No:"
food,pita,taxonomic_high_sim,"Given that pitas are daxable, is it true that food is daxable? Answer with Yes/No:"
food,pepperoni,taxonomic_low_sim,"Given that pepperonis are daxable, is it true that food is daxable? Answer with Yes/No:"
toiletry,lipstick,taxonomic_low_sim,"Given that lipsticks are daxable, is it true that toiletries are daxable? Answer with Yes/No:"
mammal,hyena,taxonomic_high_sim,"Given that hyenas are daxable, is it true that mammals are daxable? Answer with Yes/No:"
mammal,seal,taxonomic_high_sim,"Given that seals are daxable, is it true that mammals are daxable? Answer with Yes/No:"
toy,kaleidoscope,taxonomic_high_sim,"Given that kaleidoscopes are daxable, is it true that toys are daxable? Answer with Yes/No:"
kitchen tool,funnel,taxonomic_high_sim,"Given that funnels are daxable, is it true that kitchen tools are daxable? Answer with Yes/No:"
drink,milkshake,taxonomic_high_sim,"Given that milkshakes are daxable, is it true that drinks are daxable? Answer with Yes/No:"
tool,metal detector,taxonomic_high_sim,"Given that metal detectors are daxable, is it true that tools are daxable? Answer with Yes/No:"
musical instrument,trombone,taxonomic_low_sim,"Given that trombones are daxable, is it true that musical instruments are daxable? Answer with Yes/No:"
animal,turtle,taxonomic_low_sim,"Given that turtles are daxable, is it true that animals are daxable? Answer with Yes/No:"
vehicle,buggy,taxonomic_low_sim,"Given that buggies are daxable, is it true that vehicles are daxable? Answer with Yes/No:"
container,pot,taxonomic_high_sim,"Given that pots are daxable, is it true that containers are daxable? Answer with Yes/No:"
animal,iguana,taxonomic_high_sim,"Given that iguanas are daxable, is it true that animals are daxable? Answer with Yes/No:"
container,water heater,taxonomic_low_sim,"Given that water heaters are daxable, is it true that containers are daxable? Answer with Yes/No:"
tool,charger,taxonomic_low_sim,"Given that chargers are daxable, is it true that tools are daxable? Answer with Yes/No:"
food,egg roll,taxonomic_low_sim,"Given that egg rolls are daxable, is it true that food is daxable? Answer with Yes/No:"
fruit,cantaloupe,taxonomic_high_sim,"Given that cantaloupes are daxable, is it true that fruits are daxable? Answer with Yes/No:"
mammal,dog,taxonomic_high_sim,"Given that dogs are daxable, is it true that mammals are daxable? Answer with Yes/No:"
food,squash,taxonomic_high_sim,"Given that squashes are daxable, is it true that food is daxable? Answer with Yes/No:"
plant,grapevine,taxonomic_high_sim,"Given that grapevines are daxable, is it true that plants are daxable? Answer with Yes/No:"
weapon,tank,taxonomic_high_sim,"Given that tanks are daxable, is it true that weapons are daxable? Answer with Yes/No:"
bird,parrot,taxonomic_high_sim,"Given that parrots are daxable, is it true that birds are daxable? Answer with Yes/No:"
toiletry,hairdryer,taxonomic_high_sim,"Given that hairdryers are daxable, is it true that toiletries are daxable? Answer with Yes/No:"
dessert,cake mix,taxonomic_low_sim,"Given that cake mixes are daxable, is it true that desserts are daxable? Answer with Yes/No:"
tool,rake,taxonomic_high_sim,"Given that rakes are daxable, is it true that tools are daxable? Answer with Yes/No:"
medical equipment,cane,taxonomic_low_sim,"Given that canes are daxable, is it true that medical equipments are daxable? Answer with Yes/No:"
tool,needle,taxonomic_low_sim,"Given that needles are daxable, is it true that tools are daxable? Answer with Yes/No:"
clothing,cape,taxonomic_low_sim,"Given that capes are daxable, is it true that clothings are daxable? Answer with Yes/No:"
clothing,undershirt,taxonomic_high_sim,"Given that undershirts are daxable, is it true that clothings are daxable? Answer with Yes/No:"
mammal,possum,taxonomic_high_sim,"Given that possums are daxable, is it true that mammals are daxable? Answer with Yes/No:"
candy,gum,taxonomic_low_sim,"Given that a gum is daxable, is it true that candies are daxable? Answer with Yes/No:"
food,sprouts,taxonomic_high_sim,"Given that sprouts are daxable, is it true that food is daxable? Answer with Yes/No:"
animal,eagle,taxonomic_high_sim,"Given that eagles are daxable, is it true that animals are daxable? Answer with Yes/No:"
container,trunk,taxonomic_high_sim,"Given that trunks are daxable, is it true that containers are daxable? Answer with Yes/No:"
sea animal,walrus,taxonomic_high_sim,"Given that walruses are daxable, is it true that sea animals are daxable? Answer with Yes/No:"
food,dip,taxonomic_high_sim,"Given that dips are daxable, is it true that food is daxable? Answer with Yes/No:"
clothing,blouse,taxonomic_low_sim,"Given that blouses are daxable, is it true that clothings are daxable? Answer with Yes/No:"
animal,cardinal,taxonomic_low_sim,"Given that cardinals are daxable, is it true that animals are daxable? Answer with Yes/No:"
food,swordfish,taxonomic_high_sim,"Given that swordfish are daxable, is it true that food is daxable? Answer with Yes/No:"
food,star fruit,taxonomic_low_sim,"Given that star fruits are daxable, is it true that food is daxable? Answer with Yes/No:"
protective clothing,face mask,taxonomic_high_sim,"Given that face masks are daxable, is it true that protective clothing is daxable? Answer with Yes/No:"
fastener,hook,taxonomic_high_sim,"Given that hooks are daxable, is it true that fasteners are daxable? Answer with Yes/No:"
medical equipment,eyedropper,taxonomic_low_sim,"Given that eyedroppers are daxable, is it true that medical equipments are daxable? Answer with Yes/No:"
vehicle,steamroller,taxonomic_low_sim,"Given that steamrollers are daxable, is it true that vehicles are daxable? Answer with Yes/No:"
office supply,pencil,taxonomic_high_sim,"Given that pencils are daxable, is it true that office supplies are daxable? Answer with Yes/No:"
fruit,grapefruit,taxonomic_high_sim,"Given that grapefruits are daxable, is it true that fruits are daxable? Answer with Yes/No:"
school supply,chalkboard,taxonomic_high_sim,"Given that chalkboards are daxable, is it true that school supplies are daxable? Answer with Yes/No:"
animal,cow,taxonomic_high_sim,"Given that cows are daxable, is it true that animals are daxable? Answer with Yes/No:"
tool,screwdriver,taxonomic_high_sim,"Given that screwdrivers are daxable, is it true that tools are daxable? Answer with Yes/No:"
tool,light switch,taxonomic_low_sim,"Given that light switches are daxable, is it true that tools are daxable? Answer with Yes/No:"
vegetable,parsley,taxonomic_low_sim,"Given that parsley is daxable, is it true that vegetables are daxable? Answer with Yes/No:"
clothing,headscarf,taxonomic_low_sim,"Given that headscarves are daxable, is it true that clothings are daxable? Answer with Yes/No:"
animal,mosquito,taxonomic_low_sim,"Given that mosquitoes are daxable, is it true that animals are daxable? Answer with Yes/No:"
container,beaker,taxonomic_high_sim,"Given that beakers are daxable, is it true that containers are daxable? Answer with Yes/No:"
animal,puffin,taxonomic_low_sim,"Given that puffins are daxable, is it true that animals are daxable? Answer with Yes/No:"
container,bank,taxonomic_high_sim,"Given that banks are daxable, is it true that containers are daxable? Answer with Yes/No:"
animal,leech,taxonomic_high_sim,"Given that leeches are daxable, is it true that animals are daxable? Answer with Yes/No:"
sea animal,sardine,taxonomic_low_sim,"Given that sardines are daxable, is it true that sea animals are daxable? Answer with Yes/No:"
animal,toucan,taxonomic_low_sim,"Given that toucans are daxable, is it true that animals are daxable? Answer with Yes/No:"
animal,beaver,taxonomic_high_sim,"Given that beavers are daxable, is it true that animals are daxable? Answer with Yes/No:"
food,blackberry,taxonomic_low_sim,"Given that blackberries are daxable, is it true that food is daxable? Answer with Yes/No:"
fruit,fruit,taxonomic_high_sim,"Given that fruits are daxable, is it true that fruits are daxable? Answer with Yes/No:"
animal,cat,taxonomic_high_sim,"Given that cats are daxable, is it true that animals are daxable? Answer with Yes/No:"
breakfast,bagel,taxonomic_high_sim,"Given that bagels are daxable, is it true that breakfasts are daxable? Answer with Yes/No:"
dessert,sundae,taxonomic_high_sim,"Given that a sundae is daxable, is it true that desserts are daxable? Answer with Yes/No:"
food,potato,taxonomic_high_sim,"Given that potatoes are daxable, is it true that food is daxable? Answer with Yes/No:"
water vehicle,ferry,taxonomic_high_sim,"Given that ferries are daxable, is it true that water vehicles are daxable? Answer with Yes/No:"
container,bag,taxonomic_high_sim,"Given that bags are daxable, is it true that containers are daxable? Answer with Yes/No:"
toiletry,shower cap,taxonomic_high_sim,"Given that shower caps are daxable, is it true that toiletries are daxable? Answer with Yes/No:"
vehicle,trolley,taxonomic_high_sim,"Given that trolleys are daxable, is it true that vehicles are daxable? Answer with Yes/No:"
animal,swan,taxonomic_low_sim,"Given that swans are daxable, is it true that animals are daxable? Answer with Yes/No:"
clothing,boxer shorts,taxonomic_high_sim,"Given that boxer shorts are daxable, is it true that clothings are daxable? Answer with Yes/No:"
clothing,leggings,taxonomic_high_sim,"Given that leggings are daxable, is it true that clothings are daxable? Answer with Yes/No:"
livestock,horse,taxonomic_high_sim,"Given that horses are daxable, is it true that livestocks are daxable? Answer with Yes/No:"
tool,lighter,taxonomic_high_sim,"Given that a lighter is daxable, is it true that tools are daxable? Answer with Yes/No:"
tool,nail clippers,taxonomic_high_sim,"Given that nail clippers are daxable, is it true that tools are daxable? Answer with Yes/No:"
food,steak,taxonomic_high_sim,"Given that steaks are daxable, is it true that food is daxable? Answer with Yes/No:"
clothing,hoodie,taxonomic_high_sim,"Given that hoodies are daxable, is it true that clothings are daxable? Answer with Yes/No:"
fruit,pineapple,taxonomic_high_sim,"Given that pineapples are daxable, is it true that fruits are daxable? Answer with Yes/No:"
mammal,llama,taxonomic_high_sim,"Given that llamas are daxable, is it true that mammals are daxable? Answer with Yes/No:"
vehicle,tugboat,taxonomic_high_sim,"Given that tugboats are daxable, is it true that vehicles are daxable? Answer with Yes/No:"
office supply,stapler,taxonomic_high_sim,"Given that staplers are daxable, is it true that office supplies are daxable? Answer with Yes/No:"
musical instrument,triangle,taxonomic_high_sim,"Given that triangles are daxable, is it true that musical instruments are daxable? Answer with Yes/No:"
animal,ostrich,taxonomic_high_sim,"Given that ostriches are daxable, is it true that animals are daxable? Answer with Yes/No:"
kitchen tool,ladle,taxonomic_high_sim,"Given that ladles are daxable, is it true that kitchen tools are daxable? Answer with Yes/No:"
home decor,weather vane,taxonomic_low_sim,"Given that weather vanes are daxable, is it true that home decors are daxable? Answer with Yes/No:"
fastener,knot,taxonomic_low_sim,"Given that knots are daxable, is it true that fasteners are daxable? Answer with Yes/No:"
auto part,gasket,taxonomic_low_sim,"Given that gaskets are daxable, is it true that auto parts are daxable? Answer with Yes/No:"
vegetable,cabbage,taxonomic_low_sim,"Given that cabbages are daxable, is it true that vegetables are daxable? Answer with Yes/No:"
furniture,bunkbed,taxonomic_low_sim,"Given that bunkbeds are daxable, is it true that furniture is daxable? Answer with Yes/No:"
condiment,peanut butter,taxonomic_low_sim,"Given that peanut butter is daxable, is it true that condiments are daxable? Answer with Yes/No:"
women's clothing,fishnet stockings,taxonomic_high_sim,"Given that fishnet stockings are daxable, is it true that women's clothings are daxable? Answer with Yes/No:"
dessert,pudding,taxonomic_high_sim,"Given that puddings are daxable, is it true that desserts are daxable? Answer with Yes/No:"
kitchen tool,cleaver,taxonomic_high_sim,"Given that cleavers are daxable, is it true that kitchen tools are daxable? Answer with Yes/No:"
candy,chocolate,taxonomic_low_sim,"Given that chocolates are daxable, is it true that candies are daxable? Answer with Yes/No:"
animal,sea urchin,taxonomic_low_sim,"Given that sea urchins are daxable, is it true that animals are daxable? Answer with Yes/No:"
electronic device,amplifier,taxonomic_high_sim,"Given that amplifiers are daxable, is it true that electronic devices are daxable? Answer with Yes/No:"
food,pretzel,taxonomic_high_sim,"Given that pretzels are daxable, is it true that food is daxable? Answer with Yes/No:"
tool,sledgehammer,taxonomic_high_sim,"Given that sledgehammers are daxable, is it true that tools are daxable? Answer with Yes/No:"
clothing,jersey,taxonomic_low_sim,"Given that jerseys are daxable, is it true that clothings are daxable? Answer with Yes/No:"
clothing,raincoat,taxonomic_low_sim,"Given that raincoats are daxable, is it true that clothings are daxable? Answer with Yes/No:"
musical instrument,recorder,taxonomic_high_sim,"Given that recorders are daxable, is it true that musical instruments are daxable? Answer with Yes/No:"
electronic device,television,taxonomic_high_sim,"Given that televisions are daxable, is it true that electronic devices are daxable? Answer with Yes/No:"
clothing,bowtie,taxonomic_low_sim,"Given that bowties are daxable, is it true that clothings are daxable? Answer with Yes/No:"
game,dice,taxonomic_high_sim,"Given that dices are daxable, is it true that games are daxable? Answer with Yes/No:"
vehicle,ship,taxonomic_high_sim,"Given that ships are daxable, is it true that vehicles are daxable? Answer with Yes/No:"
container,cage,taxonomic_high_sim,"Given that cages are daxable, is it true that containers are daxable? Answer with Yes/No:"
plant,moss,taxonomic_low_sim,"Given that mosses are daxable, is it true that plants are daxable? Answer with Yes/No:"
animal,pelican,taxonomic_low_sim,"Given that pelicans are daxable, is it true that animals are daxable? Answer with Yes/No:"
toiletry,tweezers,taxonomic_high_sim,"Given that tweezers are daxable, is it true that toiletries are daxable? Answer with Yes/No:"
animal,hawk,taxonomic_low_sim,"Given that hawks are daxable, is it true that animals are daxable? Answer with Yes/No:"
container,trashcan,taxonomic_high_sim,"Given that trashcans are daxable, is it true that containers are daxable? Answer with Yes/No:"
tool,fountain pen,taxonomic_low_sim,"Given that fountain pens are daxable, is it true that tools are daxable? Answer with Yes/No:"
mammal,cheetah,taxonomic_high_sim,"Given that cheetahs are daxable, is it true that mammals are daxable? Answer with Yes/No:"
furniture,couch,taxonomic_high_sim,"Given that couches are daxable, is it true that furniture is daxable? Answer with Yes/No:"
container,inkwell,taxonomic_low_sim,"Given that inkwells are daxable, is it true that containers are daxable? Answer with Yes/No:"
mammal,pug,taxonomic_low_sim,"Given that pugs are daxable, is it true that mammals are daxable? Answer with Yes/No:"
insect,moth,taxonomic_high_sim,"Given that moths are daxable, is it true that insects are daxable? Answer with Yes/No:"
weapon,landmine,taxonomic_low_sim,"Given that landmines are daxable, is it true that weapons are daxable? Answer with Yes/No:"
animal,shrimp,taxonomic_high_sim,"Given that shrimps are daxable, is it true that animals are daxable? Answer with Yes/No:"
animal,slug,taxonomic_high_sim,"Given that slugs are daxable, is it true that animals are daxable? Answer with Yes/No:"
bird,duckling,taxonomic_low_sim,"Given that ducklings are daxable, is it true that birds are daxable? Answer with Yes/No:"
weapon,machine gun,taxonomic_high_sim,"Given that a machine gun is daxable, is it true that weapons are daxable? Answer with Yes/No:"
breakfast,jam,taxonomic_low_sim,"Given that a jam is daxable, is it true that breakfasts are daxable? Answer with Yes/No:"
drink,coffee,taxonomic_high_sim,"Given that coffee is daxable, is it true that drinks are daxable? Answer with Yes/No:"
food,fondue,taxonomic_high_sim,"Given that fondues are daxable, is it true that food is daxable? Answer with Yes/No:"
vehicle,van,taxonomic_high_sim,"Given that vans are daxable, is it true that vehicles are daxable? Answer with Yes/No:"
kitchen tool,skewer,taxonomic_high_sim,"Given that skewers are daxable, is it true that kitchen tools are daxable? Answer with Yes/No:"
food,cauliflower,taxonomic_low_sim,"Given that cauliflowers are daxable, is it true that food is daxable? Answer with Yes/No:"
toy,skateboard,taxonomic_low_sim,"Given that skateboards are daxable, is it true that toys are daxable? Answer with Yes/No:"
dessert,shortbread,taxonomic_low_sim,"Given that shortbreads are daxable, is it true that desserts are daxable? Answer with Yes/No:"
food,cheeseburger,taxonomic_low_sim,"Given that cheeseburgers are daxable, is it true that food is daxable? Answer with Yes/No:"
food,easter egg,taxonomic_low_sim,"Given that easter eggs are daxable, is it true that food is daxable? Answer with Yes/No:"
outerwear,glove,taxonomic_high_sim,"Given that gloves are daxable, is it true that outerwear is daxable? Answer with Yes/No:"
toiletry,diaper,taxonomic_high_sim,"Given that diapers are daxable, is it true that toiletries are daxable? Answer with Yes/No:"
food,pomegranate,taxonomic_high_sim,"Given that pomegranates are daxable, is it true that food is daxable? Answer with Yes/No:"
furniture,stool,taxonomic_low_sim,"Given that stools are daxable, is it true that furniture is daxable? Answer with Yes/No:"
food,squid,taxonomic_high_sim,"Given that squids are daxable, is it true that food is daxable? Answer with Yes/No:"
food,bread,taxonomic_high_sim,"Given that bread is daxable, is it true that food is daxable? Answer with Yes/No:"
musical instrument,keyboard,taxonomic_low_sim,"Given that keyboards are daxable, is it true that musical instruments are daxable? Answer with Yes/No:"
insect,bug,taxonomic_high_sim,"Given that bugs are daxable, is it true that insects are daxable? Answer with Yes/No:"
tool,trowel,taxonomic_high_sim,"Given that trowels are daxable, is it true that tools are daxable? Answer with Yes/No:"
medical equipment,scalpel,taxonomic_high_sim,"Given that scalpels are daxable, is it true that medical equipments are daxable? Answer with Yes/No:"
insect,lightning bug,taxonomic_high_sim,"Given that lightning bugs are daxable, is it true that insects are daxable? Answer with Yes/No:"
fastener,nail,taxonomic_low_sim,"Given that nails are daxable, is it true that fasteners are daxable? Answer with Yes/No:"
candy,gumdrop,taxonomic_high_sim,"Given that gumdrops are daxable, is it true that candies are daxable? Answer with Yes/No:"
plant,parsley,taxonomic_low_sim,"Given that parsley is daxable, is it true that plants are daxable? Answer with Yes/No:"
game,ticktacktoe,taxonomic_high_sim,"Given that tick-tack-toe is daxable, is it true that games are daxable? Answer with Yes/No:"
tool,tank,taxonomic_low_sim,"Given that tanks are daxable, is it true that tools are daxable? Answer with Yes/No:"
animal,calf,taxonomic_low_sim,"Given that calves are daxable, is it true that animals are daxable? Answer with Yes/No:"
plant,marijuana,taxonomic_low_sim,"Given that marijuana is daxable, is it true that plants are daxable? Answer with Yes/No:"
tool,scraper,taxonomic_high_sim,"Given that scrapers are daxable, is it true that tools are daxable? Answer with Yes/No:"
