anchor,hyponym,class
tool,duster,taxonomic_low_sim
clothing,headdress,taxonomic_high_sim
electronic device,computer,taxonomic_high_sim
food,marmalade,taxonomic_low_sim
container,petri dish,taxonomic_low_sim
kitchen tool,can opener,taxonomic_high_sim
auto part,brake,taxonomic_low_sim
livestock,chicken,taxonomic_high_sim
electronic device,joystick,taxonomic_high_sim
electronic device,projector,taxonomic_high_sim
tool,jackhammer,taxonomic_high_sim
tool,ruler,taxonomic_low_sim
mammal,camel,taxonomic_low_sim
vegetable,radish,taxonomic_low_sim
sea animal,fish,taxonomic_high_sim
food,pecan,taxonomic_high_sim
food,granola,taxonomic_low_sim
food,cilantro,taxonomic_low_sim
garden tool,sickle,taxonomic_high_sim
fruit,grape,taxonomic_low_sim
vegetable,rhubarb,taxonomic_high_sim
auto part,spark plug,taxonomic_high_sim
animal,moose,taxonomic_low_sim
dessert,tiramisu,taxonomic_low_sim
garden tool,hatchet,taxonomic_high_sim
outerwear,coat,taxonomic_high_sim
plant,cactus,taxonomic_high_sim
sea animal,barnacle,taxonomic_low_sim
tool,corkscrew,taxonomic_low_sim
food,coleslaw,taxonomic_low_sim
food,walnut,taxonomic_low_sim
fruit,blueberry,taxonomic_high_sim
animal,squid,taxonomic_high_sim
seafood,seafood,taxonomic_high_sim
furniture,bassinet,taxonomic_low_sim
mammal,skunk,taxonomic_high_sim
animal,tadpole,taxonomic_high_sim
clothing,sweatsuit,taxonomic_high_sim
breakfast,egg,taxonomic_low_sim
footwear,ski boots,taxonomic_low_sim
animal,panther,taxonomic_high_sim
weapon,arrow,taxonomic_high_sim
water vehicle,raft,taxonomic_low_sim
weapon,crossbow,taxonomic_low_sim
fruit,strawberry,taxonomic_low_sim
clothing,scarf,taxonomic_low_sim
accessory,bracelet,taxonomic_high_sim
electronic device,dishwasher,taxonomic_high_sim
vehicle,motorcycle,taxonomic_high_sim
food,jelly bean,taxonomic_low_sim
water vehicle,kayak,taxonomic_low_sim
container,pan,taxonomic_high_sim
clothing,apron,taxonomic_high_sim
weapon,rifle,taxonomic_high_sim
clothing,veil,taxonomic_high_sim
plant,lavender,taxonomic_high_sim
vehicle,golf cart,taxonomic_low_sim
toy,puppet,taxonomic_high_sim
vegetable,vegetable,taxonomic_high_sim
tool,rope,taxonomic_low_sim
vehicle,quad,taxonomic_high_sim
food,pie,taxonomic_low_sim
tool,clipper,taxonomic_high_sim
bird,goose,taxonomic_low_sim
container,hatbox,taxonomic_high_sim
protective clothing,armor,taxonomic_low_sim
tool,lock,taxonomic_low_sim
food,nut,taxonomic_low_sim
clothing,tiara,taxonomic_high_sim
food,peach,taxonomic_low_sim
protective clothing,football helmet,taxonomic_low_sim
headwear,headdress,taxonomic_high_sim
toiletry,floss,taxonomic_high_sim
mammal,hedgehog,taxonomic_high_sim
clothing,sweater,taxonomic_high_sim
mammal,mole,taxonomic_high_sim
tool,shears,taxonomic_high_sim
vegetable,bok choy,taxonomic_low_sim
container,matchbox,taxonomic_low_sim
toy,rattle,taxonomic_high_sim
vehicle,station wagon,taxonomic_high_sim
animal,oyster,taxonomic_low_sim
animal,cockatoo,taxonomic_low_sim
food,ham,taxonomic_low_sim
outerwear,snowsuit,taxonomic_high_sim
accessory,button,taxonomic_low_sim
food,pea,taxonomic_high_sim
office supply,staple,taxonomic_high_sim
animal,mussel,taxonomic_high_sim
tool,plunger,taxonomic_high_sim
food,cherry,taxonomic_low_sim
tool,axe,taxonomic_high_sim
vegetable,green beans,taxonomic_low_sim
mammal,rhinoceros,taxonomic_high_sim
weapon,bomb,taxonomic_low_sim
condiment,soy sauce,taxonomic_high_sim
food,wheat,taxonomic_high_sim
electronic device,microwave,taxonomic_high_sim
fruit,tomato,taxonomic_low_sim
food,salami,taxonomic_low_sim
school supply,inkwell,taxonomic_high_sim
accessory,earring,taxonomic_low_sim
food,ginger,taxonomic_low_sim
toy,marble,taxonomic_high_sim
animal,lobster,taxonomic_high_sim
fruit,berry,taxonomic_high_sim
animal,scallop,taxonomic_high_sim
school supply,pencil,taxonomic_high_sim
breakfast,hash,taxonomic_low_sim
tool,wedge,taxonomic_high_sim
school supply,whiteboard,taxonomic_high_sim
animal,kitten,taxonomic_low_sim
toiletry,eyeliner,taxonomic_low_sim
clothing,stiletto,taxonomic_low_sim
container,container,taxonomic_high_sim
headwear,helmet,taxonomic_high_sim
headwear,veil,taxonomic_high_sim
food,leek,taxonomic_high_sim
kitchen tool,spoon,taxonomic_high_sim
insect,cockroach,taxonomic_high_sim
medical equipment,stretcher,taxonomic_high_sim
electronic device,mouse,taxonomic_high_sim
clothing,outfit,taxonomic_high_sim
container,jug,taxonomic_low_sim
jewelry,brooch,taxonomic_low_sim
auto part,gearshift,taxonomic_low_sim
tool,chainsaw,taxonomic_low_sim
clothing,cloak,taxonomic_high_sim
headwear,tiara,taxonomic_high_sim
electronic device,router,taxonomic_high_sim
mammal,koala,taxonomic_high_sim
toiletry,lip gloss,taxonomic_low_sim
food,zucchini,taxonomic_high_sim
food,gyro,taxonomic_low_sim
plant,pine tree,taxonomic_low_sim
accessory,eye patch,taxonomic_low_sim
animal,tick,taxonomic_low_sim
container,dustpan,taxonomic_high_sim
auto part,rim,taxonomic_low_sim
vehicle,jet,taxonomic_low_sim
toy,whoopee cushion,taxonomic_low_sim
jewelry,tiara,taxonomic_high_sim
weapon,catapult,taxonomic_high_sim
clothing,top hat,taxonomic_high_sim
women's clothing,stockings,taxonomic_high_sim
clothing,belt,taxonomic_low_sim
clothing,toga,taxonomic_high_sim
container,doghouse,taxonomic_low_sim
musical instrument,chime,taxonomic_high_sim
kitchen equipment,cooker,taxonomic_high_sim
school supply,stapler,taxonomic_high_sim
garden tool,clipper,taxonomic_low_sim
clothing,jeans,taxonomic_low_sim
footwear,sandal,taxonomic_high_sim
mammal,groundhog,taxonomic_low_sim
sea animal,blowfish,taxonomic_low_sim
home decor,centerpiece,taxonomic_high_sim
water vehicle,cruise ship,taxonomic_low_sim
accessory,corsage,taxonomic_high_sim
insect,grasshopper,taxonomic_high_sim
furniture,bookshelf,taxonomic_low_sim
vehicle,aircraft carrier,taxonomic_low_sim
food,donut,taxonomic_low_sim
garden tool,saw,taxonomic_high_sim
electronic device,drill,taxonomic_high_sim
tool,magnifier,taxonomic_low_sim
mammal,otter,taxonomic_high_sim
fruit,prune,taxonomic_low_sim
bird,penguin,taxonomic_low_sim
tool,pocketknife,taxonomic_low_sim
mammal,deer,taxonomic_high_sim
clothing,tuxedo,taxonomic_low_sim
insect,wasp,taxonomic_low_sim
food,caviar,taxonomic_high_sim
sea animal,seal,taxonomic_high_sim
food,parfait,taxonomic_low_sim
container,luggage,taxonomic_low_sim
office supply,glue,taxonomic_low_sim
plant,bok choy,taxonomic_low_sim
animal,starfish,taxonomic_low_sim
animal,moth,taxonomic_low_sim
accessory,sombrero,taxonomic_high_sim
footwear,snowshoe,taxonomic_high_sim
garden tool,scissors,taxonomic_low_sim
drink,smoothie,taxonomic_high_sim
tool,hose,taxonomic_low_sim
food,meatball,taxonomic_high_sim
container,wineglass,taxonomic_low_sim
plant,dandelion,taxonomic_high_sim
medical equipment,crutch,taxonomic_low_sim
weapon,bat,taxonomic_low_sim
women's clothing,blouse,taxonomic_low_sim
electronic device,turntable,taxonomic_low_sim
food,sorbet,taxonomic_low_sim
tool,grater,taxonomic_low_sim
tool,pitchfork,taxonomic_low_sim
vegetable,carrot,taxonomic_low_sim
toiletry,lip balm,taxonomic_low_sim
vegetable,cucumber,taxonomic_high_sim
clothing,visor,taxonomic_high_sim
fruit,papaya,taxonomic_high_sim
bird,crow,taxonomic_low_sim
clothing,pantyhose,taxonomic_low_sim
container,ashtray,taxonomic_low_sim
animal,yak,taxonomic_high_sim
clothing,boa,taxonomic_low_sim
food,bagel,taxonomic_high_sim
food,chocolate,taxonomic_high_sim
tool,pliers,taxonomic_high_sim
animal,bug,taxonomic_high_sim
container,teapot,taxonomic_low_sim
headwear,top hat,taxonomic_low_sim
school supply,backpack,taxonomic_low_sim
animal,lightning bug,taxonomic_low_sim
kitchen equipment,blender,taxonomic_low_sim
animal,chinchilla,taxonomic_high_sim
kitchen equipment,refrigerator,taxonomic_high_sim
musical instrument,harmonica,taxonomic_high_sim
drink,milk,taxonomic_low_sim
mammal,piglet,taxonomic_low_sim
container,birdbath,taxonomic_low_sim
kitchen equipment,waffle iron,taxonomic_high_sim
vegetable,tomato,taxonomic_high_sim
headwear,wig,taxonomic_low_sim
mammal,platypus,taxonomic_high_sim
school supply,pen,taxonomic_low_sim
mammal,sloth,taxonomic_high_sim
animal,turkey,taxonomic_high_sim
animal,peacock,taxonomic_low_sim
electronic device,air conditioner,taxonomic_low_sim
food,cheesecake,taxonomic_high_sim
fruit,pear,taxonomic_low_sim
furniture,beanbag,taxonomic_low_sim
toiletry,toilet paper,taxonomic_high_sim
food,cornmeal,taxonomic_high_sim
musical instrument,xylophone,taxonomic_high_sim
tool,bottle opener,taxonomic_low_sim
food,bean,taxonomic_high_sim
food,cake,taxonomic_high_sim
school supply,pencil sharpener,taxonomic_high_sim
furniture,loveseat,taxonomic_low_sim
vehicle,speedboat,taxonomic_low_sim
mammal,puppy,taxonomic_low_sim
kitchen tool,scoop,taxonomic_low_sim
drink,champagne,taxonomic_low_sim
vehicle,tractor,taxonomic_high_sim
clothing,bikini,taxonomic_low_sim
vehicle,limousine,taxonomic_low_sim
animal,bee,taxonomic_low_sim
vegetable,pumpkin,taxonomic_high_sim
animal,panda,taxonomic_high_sim
animal,mongoose,taxonomic_low_sim
mammal,aardvark,taxonomic_high_sim
food,gumdrop,taxonomic_low_sim
container,saltshaker,taxonomic_low_sim
animal,walrus,taxonomic_high_sim
bird,owl,taxonomic_high_sim
mammal,ram,taxonomic_low_sim
toiletry,toothpick,taxonomic_low_sim
vehicle,forklift,taxonomic_low_sim
condiment,syrup,taxonomic_high_sim
mammal,bear,taxonomic_low_sim
game,slot machine,taxonomic_low_sim
electronic device,iron,taxonomic_low_sim
electronic device,copier,taxonomic_low_sim
weapon,bullet,taxonomic_low_sim
garden tool,pickax,taxonomic_low_sim
clothing,turtleneck,taxonomic_low_sim
vegetable,sweet potato,taxonomic_low_sim
vegetable,arugula,taxonomic_low_sim
home decor,mirror,taxonomic_low_sim
food,lamb,taxonomic_high_sim
mammal,donkey,taxonomic_low_sim
vehicle,car,taxonomic_high_sim
food,sushi,taxonomic_high_sim
animal,tiger,taxonomic_low_sim
tool,drill,taxonomic_high_sim
condiment,applesauce,taxonomic_high_sim
clothing,skirt,taxonomic_low_sim
electronic device,lamp,taxonomic_low_sim
sea animal,swordfish,taxonomic_high_sim
vehicle,gondola,taxonomic_high_sim
food,wrap,taxonomic_low_sim
mammal,gazelle,taxonomic_low_sim
food,jam,taxonomic_low_sim
plant,lettuce,taxonomic_high_sim
animal,sardine,taxonomic_low_sim
mammal,dolphin,taxonomic_high_sim
tool,letter opener,taxonomic_high_sim
vegetable,kale,taxonomic_low_sim
dessert,wedding cake,taxonomic_high_sim
garden tool,pitchfork,taxonomic_low_sim
bird,chick,taxonomic_low_sim
animal,leopard,taxonomic_low_sim
food,crab,taxonomic_high_sim
animal,rabbit,taxonomic_high_sim
food,creme brulee,taxonomic_low_sim
women's clothing,veil,taxonomic_high_sim
vegetable,pepper,taxonomic_high_sim
clothing,bathrobe,taxonomic_high_sim
tool,doorknob,taxonomic_low_sim
office supply,paper,taxonomic_low_sim
food,chive,taxonomic_low_sim
sea animal,coral,taxonomic_low_sim
dessert,brownie,taxonomic_high_sim
food,cinnamon,taxonomic_high_sim
furniture,sofa bed,taxonomic_high_sim
food,lemon,taxonomic_low_sim
vehicle,minivan,taxonomic_high_sim
bird,bird,taxonomic_high_sim
food,stuffing,taxonomic_high_sim
food,pancake,taxonomic_high_sim
electronic device,cd player,taxonomic_high_sim
clothing,blazer,taxonomic_high_sim
clothing,suit,taxonomic_high_sim
clothing,straightjacket,taxonomic_high_sim
electronic device,cash machine,taxonomic_high_sim
mammal,chihuahua,taxonomic_low_sim
fastener,buckle,taxonomic_low_sim
candy,gumball,taxonomic_low_sim
water vehicle,canoe,taxonomic_low_sim
container,bedpan,taxonomic_high_sim
mammal,lamb,taxonomic_low_sim
insect,butterfly,taxonomic_high_sim
clothing,pajamas,taxonomic_high_sim
seafood,sea urchin,taxonomic_low_sim
animal,dragonfly,taxonomic_high_sim
animal,orangutan,taxonomic_high_sim
mammal,reindeer,taxonomic_low_sim
musical instrument,bell,taxonomic_high_sim
food,stir fry,taxonomic_low_sim
food,tomato sauce,taxonomic_high_sim
animal,antelope,taxonomic_high_sim
water vehicle,aircraft carrier,taxonomic_low_sim
food,hash,taxonomic_low_sim
home decor,chandelier,taxonomic_high_sim
home decor,rug,taxonomic_high_sim
weapon,scissors,taxonomic_high_sim
breakfast,breakfast,taxonomic_high_sim
food,banana,taxonomic_low_sim
tool,shears,taxonomic_high_sim
fastener,combination lock,taxonomic_low_sim
food,taco,taxonomic_low_sim
food,pickle,taxonomic_high_sim
animal,praying mantis,taxonomic_low_sim
dessert,popsicle,taxonomic_high_sim
food,fish,taxonomic_high_sim
food,melon,taxonomic_low_sim
game,playing card,taxonomic_high_sim
animal,hamster,taxonomic_low_sim
women's clothing,stiletto,taxonomic_low_sim
vegetable,garlic,taxonomic_low_sim
accessory,headdress,taxonomic_high_sim
bird,eagle,taxonomic_high_sim
food,mulberry,taxonomic_low_sim
seafood,shrimp,taxonomic_high_sim
condiment,pesto,taxonomic_high_sim
livestock,calf,taxonomic_low_sim
tool,axe,taxonomic_high_sim
food,meatloaf,taxonomic_low_sim
headwear,hairnet,taxonomic_low_sim
food,appetizer,taxonomic_high_sim
container,filing cabinet,taxonomic_high_sim
plant,seaweed,taxonomic_high_sim
clothing,wetsuit,taxonomic_low_sim
plant,arugula,taxonomic_high_sim
musical instrument,bongo,taxonomic_low_sim
animal,chicken,taxonomic_high_sim
container,pillbox,taxonomic_high_sim
medical equipment,syringe,taxonomic_high_sim
animal,mouse,taxonomic_high_sim
furniture,closet,taxonomic_high_sim
women's clothing,bra,taxonomic_high_sim
food,cheese,taxonomic_high_sim
home decor,candlestick,taxonomic_low_sim
vehicle,helicopter,taxonomic_low_sim
sea animal,squid,taxonomic_high_sim
weapon,scalpel,taxonomic_low_sim
animal,alpaca,taxonomic_low_sim
mammal,warthog,taxonomic_low_sim
insect,ladybug,taxonomic_low_sim
bird,toucan,taxonomic_low_sim
tool,wedge,taxonomic_high_sim
vehicle,submarine,taxonomic_low_sim
plant,kale,taxonomic_low_sim
mammal,squirrel,taxonomic_high_sim
animal,meerkat,taxonomic_high_sim
food,asparagus,taxonomic_high_sim
tool,fork,taxonomic_high_sim
insect,beetle,taxonomic_high_sim
breakfast,grits,taxonomic_high_sim
auto part,odometer,taxonomic_low_sim
bird,swan,taxonomic_high_sim
food,sugar cube,taxonomic_high_sim
animal,wolf,taxonomic_high_sim
game,backgammon,taxonomic_high_sim
food,birthday cake,taxonomic_low_sim
auto part,car seat,taxonomic_high_sim
vehicle,scooter,taxonomic_high_sim
tool,jackhammer,taxonomic_high_sim
food,ketchup,taxonomic_low_sim
animal,ferret,taxonomic_high_sim
food,mango,taxonomic_high_sim
mammal,raccoon,taxonomic_high_sim
accessory,scarf,taxonomic_low_sim
vehicle,tricycle,taxonomic_high_sim
school supply,ruler,taxonomic_low_sim
bird,ostrich,taxonomic_low_sim
mammal,horse,taxonomic_low_sim
seafood,mussel,taxonomic_high_sim
outerwear,overalls,taxonomic_high_sim
home decor,tapestry,taxonomic_high_sim
toy,doll,taxonomic_low_sim
tool,hook,taxonomic_high_sim
food,tostada,taxonomic_high_sim
home decor,lamp,taxonomic_high_sim
drink,espresso,taxonomic_high_sim
food,fruitcake,taxonomic_high_sim
drink,eggnog,taxonomic_low_sim
vehicle,go-kart,taxonomic_high_sim
school supply,fountain pen,taxonomic_low_sim
animal,rattlesnake,taxonomic_low_sim
electronic device,vending machine,taxonomic_low_sim
toiletry,shaving cream,taxonomic_high_sim
vegetable,bell pepper,taxonomic_low_sim
food,mousse,taxonomic_high_sim
drink,drink,taxonomic_high_sim
seafood,snail,taxonomic_low_sim
container,vase,taxonomic_high_sim
vehicle,unicycle,taxonomic_high_sim
electronic device,waffle iron,taxonomic_low_sim
weapon,pickax,taxonomic_low_sim
food,mint,taxonomic_low_sim
tool,screw,taxonomic_low_sim
home decor,pinecone,taxonomic_low_sim
jewelry,bracelet,taxonomic_high_sim
sea animal,oyster,taxonomic_low_sim
medical equipment,sling,taxonomic_low_sim
furniture,lectern,taxonomic_high_sim
electronic device,vacuum,taxonomic_low_sim
kitchen equipment,oven,taxonomic_high_sim
breakfast,marmalade,taxonomic_high_sim
animal,dalmatian,taxonomic_high_sim
sea animal,mussel,taxonomic_high_sim
office supply,tape,taxonomic_low_sim
garden tool,shears,taxonomic_high_sim
seafood,shark,taxonomic_low_sim
auto part,license plate,taxonomic_high_sim
condiment,maple syrup,taxonomic_low_sim
women's clothing,pantyhose,taxonomic_high_sim
clothing,armor,taxonomic_low_sim
container,coop,taxonomic_high_sim
women's clothing,boa,taxonomic_low_sim
dessert,baklava,taxonomic_low_sim
bird,hawk,taxonomic_high_sim
home decor,potpourri,taxonomic_high_sim
breakfast,granola,taxonomic_low_sim
food,coffee bean,taxonomic_low_sim
clothing,muff,taxonomic_high_sim
medical equipment,gauze,taxonomic_high_sim
food,goat,taxonomic_low_sim
food,marshmallow,taxonomic_high_sim
tool,clipper,taxonomic_high_sim
container,tent,taxonomic_low_sim
livestock,piglet,taxonomic_low_sim
home decor,pinwheel,taxonomic_high_sim
dessert,eclair,taxonomic_low_sim
clothing,flip-flop,taxonomic_high_sim
food,chickpea,taxonomic_high_sim
sea animal,lobster,taxonomic_high_sim
garden tool,axe,taxonomic_high_sim
food,candy cane,taxonomic_low_sim
mammal,chipmunk,taxonomic_high_sim
animal,fox,taxonomic_high_sim
mammal,gorilla,taxonomic_low_sim
vegetable,eggplant,taxonomic_low_sim
sea animal,scallop,taxonomic_high_sim
toy,dreidel,taxonomic_high_sim
food,buffet,taxonomic_high_sim
animal,pony,taxonomic_high_sim
tool,saw,taxonomic_high_sim
food,cracker,taxonomic_high_sim
tool,crowbar,taxonomic_high_sim
tool,tongs,taxonomic_high_sim
tool,chopsticks,taxonomic_high_sim
mammal,lion,taxonomic_high_sim
musical instrument,guitar,taxonomic_high_sim
water vehicle,seaplane,taxonomic_low_sim
food,pig,taxonomic_low_sim
furniture,bench,taxonomic_low_sim
clothing,vest,taxonomic_high_sim
vehicle,yacht,taxonomic_low_sim
food,cucumber,taxonomic_high_sim
game,jigsaw puzzle,taxonomic_low_sim
vehicle,snowmobile,taxonomic_high_sim
mammal,kangaroo,taxonomic_low_sim
vehicle,hot-air balloon,taxonomic_low_sim
clothing,swimsuit,taxonomic_high_sim
clothing,t-shirt,taxonomic_low_sim
animal,manatee,taxonomic_high_sim
protective clothing,visor,taxonomic_high_sim
clothing,turban,taxonomic_high_sim
electronic device,metal detector,taxonomic_high_sim
jewelry,hairpin,taxonomic_low_sim
accessory,lanyard,taxonomic_low_sim
food,broccoli,taxonomic_high_sim
mammal,guinea pig,taxonomic_low_sim
jewelry,earring,taxonomic_high_sim
breakfast,bread,taxonomic_high_sim
women's clothing,bikini,taxonomic_low_sim
clothing,sombrero,taxonomic_low_sim
food,plum,taxonomic_high_sim
weapon,whip,taxonomic_low_sim
toy,teddy bear,taxonomic_low_sim
food,caramel,taxonomic_high_sim
vegetable,onion,taxonomic_high_sim
livestock,ram,taxonomic_low_sim
tool,pen,taxonomic_low_sim
school supply,chalk,taxonomic_high_sim
tool,handle,taxonomic_high_sim
furniture,workbench,taxonomic_high_sim
toy,kite,taxonomic_high_sim
bird,pheasant,taxonomic_high_sim
clothing,pants,taxonomic_high_sim
livestock,donkey,taxonomic_high_sim
tool,grinder,taxonomic_high_sim
food,omelet,taxonomic_high_sim
animal,whale,taxonomic_high_sim
animal,owl,taxonomic_high_sim
drink,juice,taxonomic_low_sim
kitchen equipment,dishwasher,taxonomic_high_sim
clothing,coverall,taxonomic_high_sim
food,lime,taxonomic_low_sim
dessert,ice cream,taxonomic_low_sim
headwear,football helmet,taxonomic_low_sim
clothing,tube top,taxonomic_high_sim
mammal,bull,taxonomic_low_sim
clothing,shorts,taxonomic_low_sim
food,bun,taxonomic_low_sim
breakfast,ham,taxonomic_high_sim
vehicle,carriage,taxonomic_high_sim
candy,jelly bean,taxonomic_low_sim
container,glass,taxonomic_low_sim
tool,cable,taxonomic_low_sim
furniture,ottoman,taxonomic_high_sim
fruit,coconut,taxonomic_low_sim
container,oilcan,taxonomic_low_sim
container,thermos,taxonomic_high_sim
drink,wine,taxonomic_high_sim
food,yolk,taxonomic_high_sim
clothing,jacket,taxonomic_low_sim
home decor,cornucopia,taxonomic_low_sim
tool,nail,taxonomic_low_sim
animal,elephant,taxonomic_low_sim
medical equipment,stethoscope,taxonomic_high_sim
home decor,place mat,taxonomic_low_sim
toy,rocking horse,taxonomic_low_sim
water vehicle,hovercraft,taxonomic_high_sim
sea animal,starfish,taxonomic_high_sim
tool,wire cutters,taxonomic_high_sim
game,shuffleboard,taxonomic_low_sim
food,popcorn,taxonomic_high_sim
tool,vacuum,taxonomic_low_sim
mammal,pig,taxonomic_low_sim
jewelry,ring,taxonomic_high_sim
sea animal,dolphin,taxonomic_high_sim
food,candy bar,taxonomic_low_sim
weapon,torpedo,taxonomic_high_sim
animal,porcupine,taxonomic_low_sim
toy,pinwheel,taxonomic_high_sim
headwear,turban,taxonomic_high_sim
animal,alligator,taxonomic_high_sim
food,fast food,taxonomic_high_sim
accessory,visor,taxonomic_high_sim
food,macadamia,taxonomic_low_sim
container,footbath,taxonomic_low_sim
headwear,sombrero,taxonomic_low_sim
weapon,razor blade,taxonomic_high_sim
animal,bird,taxonomic_high_sim
accessory,boa,taxonomic_low_sim
office supply,punch,taxonomic_low_sim
animal,seahorse,taxonomic_low_sim
accessory,purse,taxonomic_high_sim
musical instrument,bagpipe,taxonomic_low_sim
tool,pickax,taxonomic_high_sim
vegetable,scallion,taxonomic_high_sim
container,keg,taxonomic_low_sim
tool,gavel,taxonomic_low_sim
food,crouton,taxonomic_low_sim
animal,scorpion,taxonomic_low_sim
food,pita,taxonomic_high_sim
food,pepperoni,taxonomic_low_sim
toiletry,lipstick,taxonomic_low_sim
mammal,hyena,taxonomic_high_sim
mammal,seal,taxonomic_high_sim
toy,kaleidoscope,taxonomic_high_sim
kitchen tool,funnel,taxonomic_high_sim
drink,milkshake,taxonomic_high_sim
tool,metal detector,taxonomic_high_sim
musical instrument,trombone,taxonomic_low_sim
animal,turtle,taxonomic_low_sim
vehicle,buggy,taxonomic_low_sim
container,pot,taxonomic_high_sim
animal,iguana,taxonomic_high_sim
container,water heater,taxonomic_low_sim
tool,charger,taxonomic_low_sim
food,egg roll,taxonomic_low_sim
fruit,cantaloupe,taxonomic_high_sim
mammal,dog,taxonomic_high_sim
food,squash,taxonomic_high_sim
plant,grapevine,taxonomic_high_sim
weapon,tank,taxonomic_high_sim
bird,parrot,taxonomic_high_sim
toiletry,hairdryer,taxonomic_high_sim
dessert,cake mix,taxonomic_low_sim
tool,rake,taxonomic_high_sim
medical equipment,cane,taxonomic_low_sim
tool,needle,taxonomic_low_sim
clothing,cape,taxonomic_low_sim
clothing,undershirt,taxonomic_high_sim
mammal,possum,taxonomic_high_sim
candy,gum,taxonomic_low_sim
food,sprouts,taxonomic_high_sim
animal,eagle,taxonomic_high_sim
container,trunk,taxonomic_high_sim
sea animal,walrus,taxonomic_high_sim
food,dip,taxonomic_high_sim
clothing,blouse,taxonomic_low_sim
animal,cardinal,taxonomic_low_sim
food,swordfish,taxonomic_high_sim
food,star fruit,taxonomic_low_sim
protective clothing,face mask,taxonomic_high_sim
fastener,hook,taxonomic_high_sim
medical equipment,eyedropper,taxonomic_low_sim
vehicle,steamroller,taxonomic_low_sim
office supply,pencil,taxonomic_high_sim
fruit,grapefruit,taxonomic_high_sim
school supply,chalkboard,taxonomic_high_sim
animal,cow,taxonomic_high_sim
tool,screwdriver,taxonomic_high_sim
tool,light switch,taxonomic_low_sim
vegetable,parsley,taxonomic_low_sim
clothing,headscarf,taxonomic_low_sim
animal,mosquito,taxonomic_low_sim
container,beaker,taxonomic_high_sim
animal,puffin,taxonomic_low_sim
container,bank,taxonomic_high_sim
animal,leech,taxonomic_high_sim
sea animal,sardine,taxonomic_low_sim
animal,toucan,taxonomic_low_sim
animal,beaver,taxonomic_high_sim
food,blackberry,taxonomic_low_sim
fruit,fruit,taxonomic_high_sim
animal,cat,taxonomic_high_sim
breakfast,bagel,taxonomic_high_sim
dessert,sundae,taxonomic_high_sim
food,potato,taxonomic_high_sim
water vehicle,ferry,taxonomic_high_sim
container,bag,taxonomic_high_sim
toiletry,shower cap,taxonomic_high_sim
vehicle,trolley,taxonomic_high_sim
animal,swan,taxonomic_low_sim
clothing,boxer shorts,taxonomic_high_sim
clothing,leggings,taxonomic_high_sim
livestock,horse,taxonomic_high_sim
tool,lighter,taxonomic_high_sim
tool,nail clippers,taxonomic_high_sim
food,steak,taxonomic_high_sim
clothing,hoodie,taxonomic_high_sim
fruit,pineapple,taxonomic_high_sim
mammal,llama,taxonomic_high_sim
vehicle,tugboat,taxonomic_high_sim
office supply,stapler,taxonomic_high_sim
musical instrument,triangle,taxonomic_high_sim
animal,ostrich,taxonomic_high_sim
kitchen tool,ladle,taxonomic_high_sim
home decor,weather vane,taxonomic_low_sim
fastener,knot,taxonomic_low_sim
auto part,gasket,taxonomic_low_sim
vegetable,cabbage,taxonomic_low_sim
furniture,bunkbed,taxonomic_low_sim
condiment,peanut butter,taxonomic_low_sim
women's clothing,fishnet stockings,taxonomic_high_sim
dessert,pudding,taxonomic_high_sim
kitchen tool,cleaver,taxonomic_high_sim
candy,chocolate,taxonomic_low_sim
animal,sea urchin,taxonomic_low_sim
electronic device,amplifier,taxonomic_high_sim
food,pretzel,taxonomic_high_sim
tool,sledgehammer,taxonomic_high_sim
clothing,jersey,taxonomic_low_sim
clothing,raincoat,taxonomic_low_sim
musical instrument,recorder,taxonomic_high_sim
electronic device,television,taxonomic_high_sim
clothing,bowtie,taxonomic_low_sim
game,dice,taxonomic_high_sim
vehicle,ship,taxonomic_high_sim
container,cage,taxonomic_high_sim
plant,moss,taxonomic_low_sim
animal,pelican,taxonomic_low_sim
toiletry,tweezers,taxonomic_high_sim
animal,hawk,taxonomic_low_sim
container,trashcan,taxonomic_high_sim
tool,fountain pen,taxonomic_low_sim
mammal,cheetah,taxonomic_high_sim
furniture,couch,taxonomic_high_sim
container,inkwell,taxonomic_low_sim
mammal,pug,taxonomic_low_sim
insect,moth,taxonomic_high_sim
weapon,landmine,taxonomic_low_sim
animal,shrimp,taxonomic_high_sim
animal,slug,taxonomic_high_sim
bird,duckling,taxonomic_low_sim
weapon,machine gun,taxonomic_high_sim
breakfast,jam,taxonomic_low_sim
drink,coffee,taxonomic_high_sim
food,fondue,taxonomic_high_sim
vehicle,van,taxonomic_high_sim
kitchen tool,skewer,taxonomic_high_sim
food,cauliflower,taxonomic_low_sim
toy,skateboard,taxonomic_low_sim
dessert,shortbread,taxonomic_low_sim
food,cheeseburger,taxonomic_low_sim
food,easter egg,taxonomic_low_sim
outerwear,glove,taxonomic_high_sim
toiletry,diaper,taxonomic_high_sim
food,pomegranate,taxonomic_high_sim
furniture,stool,taxonomic_low_sim
food,squid,taxonomic_high_sim
food,bread,taxonomic_high_sim
musical instrument,keyboard,taxonomic_low_sim
insect,bug,taxonomic_high_sim
tool,trowel,taxonomic_high_sim
medical equipment,scalpel,taxonomic_high_sim
insect,lightning bug,taxonomic_high_sim
fastener,nail,taxonomic_low_sim
