lemma,plural,article
fur coat,fur coats,a fur coat
oyster,oysters,an oyster
weasel,weasels,a weasel
inhaler,inhalers,an inhaler
measuring cup,measuring cups,a measuring cup
polisher,polishers,a polisher
slingshot,slingshots,a slingshot
component,components,a component
sweater,sweaters,a sweater
headrest,headrests,a headrest
avocado,avocados,an avocado
elephant,elephants,an elephant
sloth,sloths,a sloth
trunk,trunks,a trunk
rollerblade,rollerblades,a rollerblade
nail polish,nail polishes,a nail polish
shears,shears,a shears
grits,grit,a grits
polo shirt,polo shirts,a polo shirt
french horn,french horns,a french horn
toilet paper,toilet papers,a toilet paper
hot chocolate,hot chocolates,a hot chocolate
bell pepper,bell peppers,a bell pepper
scorpion,scorpions,a scorpion
pinecone,pinecones,a pinecone
hamster,hamsters,a hamster
creme brulee,creme brulees,a creme brulee
kiwi,kiwis,a kiwi
swan,swans,a swan
melon,melons,a melon
stapler,staplers,a stapler
toast,toasts,a toast
eyeliner,eyeliners,an eyeliner
puppy,puppies,a puppy
catfish,catfish,a catfish
air mattress,air mattresses,an air mattress
taco,tacos,a taco
mushroom,mushrooms,a mushroom
fountain pen,fountain pens,a fountain pen
jar,jars,a jar
bullet,bullets,a bullet
soda,sodas,a soda
penguin,penguins,a penguin
swimsuit,swimsuits,a swimsuit
hood,hoods,a hood
ship,ships,a ship
wok,woks,a wok
garlic,garlics,a garlic
cord,cords,a cord
squeegee,squeegees,a squeegee
ashtray,ashtrays,an ashtray
squirrel,squirrels,a squirrel
crossbow,crossbows,a crossbow
coverall,coveralls,a coverall
cheeseburger,cheeseburgers,a cheeseburger
nutcracker,nutcrackers,a nutcracker
carrot,carrots,a carrot
grapefruit,grapefruits,a grapefruit
birthday cake,birthday cakes,a birthday cake
machete,machetes,a machete
microwave,microwaves,a microwave
boomerang,boomerangs,a boomerang
papaya,papayas,a papaya
gurney,gurneys,a gurney
fly,flies,a fly
mango,mangoes,a mango
pitcher,pitchers,a pitcher
pheasant,pheasants,a pheasant
life jacket,life jackets,a life jacket
cardigan,cardigans,a cardigan
honeypot,honeypots,a honeypot
spam,spams,a spam
wheelchair,wheelchairs,a wheelchair
tractor,tractors,a tractor
mashed potato,mashed potatoes,a mashed potato
timer,timers,a timer
bell,bells,a bell
jeep,jeeps,a jeep
vial,vials,a vial
hinge,hinges,a hinge
aquarium,aquariums,an aquarium
ladle,ladles,a ladle
paperclip,paperclips,a paperclip
footbath,footbaths,a footbath
stained glass,stained glasses,a stained glass
snowsuit,snowsuits,a snowsuit
vase,vases,a vase
notebook,notebooks,a notebook
cuckoo clock,cuckoo clocks,a cuckoo clock
marble,marbles,a marble
jukebox,jukeboxes,a jukebox
sweet,sweets,a sweet
wine bottle,wine bottles,a wine bottle
bed,beds,a bed
steak,steaks,a steak
filing cabinet,filing cabinets,a filing cabinet
peanut,peanuts,a peanut
slipper,slippers,a slipper
coyote,coyotes,a coyote
squirt gun,squirt guns,a squirt gun
strainer,strainers,a strainer
robot,robots,a robot
octopus,octopuses,an octopus
barrel,barrels,a barrel
walker,walkers,a walker
bat,bats,a bat
seal,seals,a seal
stroller,strollers,a stroller
freezer,freezers,a freezer
meerkat,meerkats,a meerkat
robe,robes,a robe
fox,foxes,a fox
penlight,penlights,a penlight
trolley,trolleys,a trolley
nacho,nachoes,a nacho
turntable,turntables,a turntable
shaving cream,shaving creams,a shaving cream
shredder,shredders,a shredder
guacamole,guacamoles,a guacamole
quad,quads,a quad
fruitcake,fruitcakes,a fruitcake
sewing machine,sewing machines,a sewing machine
kitchen tool,kitchen tools,a kitchen tool
corsage,corsages,a corsage
rolling pin,rolling pins,a rolling pin
giraffe,giraffes,a giraffe
tack,tacks,a tack
noodle,noodles,a noodle
cactus,cactuses,a cactus
antelope,antelopes,an antelope
axe,axes,an axe
razor blade,razor blades,a razor blade
hummingbird,hummingbirds,a hummingbird
seaweed,seaweeds,a seaweed
cashew,cashews,a cashew
armor,armors,an armor
tostada,tostadas,a tostada
spring roll,spring rolls,a spring roll
chime,chimes,a chime
lion,lions,a lion
meatball,meatballs,a meatball
christmas tree,christmas trees,a christmas tree
rooster,roosters,a rooster
maggot,maggots,a maggot
terrarium,terrariums,a terrarium
dandelion,dandelions,a dandelion
croissant,croissants,a croissant
velcro,velcroes,a velcro
broom,brooms,a broom
strap,straps,a strap
clover,clovers,a clover
candle,candles,a candle
tadpole,tadpoles,a tadpole
breakfast,breakfasts,a breakfast
clothes,clothe,a clothes
tape recorder,tape recorders,a tape recorder
cash machine,cash machines,a cash machine
necklace,necklaces,a necklace
bamboo,bamboos,a bamboo
hammer,hammers,a hammer
anteater,anteaters,an anteater
domino,dominoes,a domino
guitar,guitars,a guitar
blazer,blazers,a blazer
costume,costumes,a costume
prune,prunes,a prune
mulberry,mulberries,a mulberry
football helmet,football helmets,a football helmet
suit,suits,a suit
lobster,lobsters,a lobster
centrifuge,centrifuges,a centrifuge
pencil,pencils,a pencil
stilt,stilts,a stilt
juice,juices,a juice
crepe,crepes,a crepe
catapult,catapults,a catapult
asparagus,asparaguses,an asparagus
binder,binders,a binder
cocktail,cocktails,a cocktail
workbench,workbenches,a workbench
bandana,bandanas,a bandana
windshield wiper,windshield wipers,a windshield wiper
rabbit,rabbits,a rabbit
pencil sharpener,pencil sharpeners,a pencil sharpener
apron,aprons,an apron
shuffleboard,shuffleboards,a shuffleboard
punch,punches,a punch
aloe,aloes,an aloe
stool,stools,a stool
dollhouse,dollhouses,a dollhouse
sofa bed,sofa beds,a sofa bed
berry,berries,a berry
syrup,syrups,a syrup
cruise ship,cruise ships,a cruise ship
duct,ducts,a duct
dumpster,dumpsters,a dumpster
book,books,a book
bathtub,bathtubs,a bathtub
gumball,gumballs,a gumball
sarcophagus,sarcophagi,a sarcophagus
engine,engines,an engine
tarantula,tarantulas,a tarantula
lime,limes,a lime
connector,connectors,a connector
lip gloss,lip glosses,a lip gloss
doily,doilies,a doily
gauze,gauzes,a gauze
milk,milks,a milk
combination lock,combination locks,a combination lock
cantaloupe,cantaloupes,a cantaloupe
owl,owls,an owl
pan,pans,a pan
cookie,cookies,a cookie
airbag,airbags,an airbag
magnifier,magnifiers,a magnifier
pen,pens,a pen
doorknocker,doorknockers,a doorknocker
bin,bins,a bin
speedometer,speedometers,a speedometer
piano,pianos,a piano
shower cap,shower caps,a shower cap
whisk,whisks,a whisk
jewelry,jewelries,a jewelry
marmalade,marmalades,a marmalade
locket,lockets,a locket
matchbox,matchboxes,a matchbox
harp,harps,a harp
poodle,poodles,a poodle
bear,bears,a bear
bush,bushes,a bush
wallpaper,wallpapers,a wallpaper
sandpaper,sandpapers,a sandpaper
cardinal,cardinals,a cardinal
ladder,ladders,a ladder
yacht,yachts,a yacht
meat,meats,a meat
teacup,teacups,a teacup
swab,swabs,a swab
wedge,wedges,a wedge
copier,copiers,a copier
jersey,jerseys,a jersey
statue,statues,a statue
leek,leeks,a leek
sweatsuit,sweatsuits,a sweatsuit
baklava,baklavas,a baklava
centerpiece,centerpieces,a centerpiece
baseball bat,baseball bats,a baseball bat
noisemaker,noisemakers,a noisemaker
pinwheel,pinwheels,a pinwheel
cabbage,cabbages,a cabbage
candlestick,candlesticks,a candlestick
squash,squashes,a squash
luggage,luggages,a luggage
coil,coils,a coil
sailboat,sailboats,a sailboat
quesadilla,quesadillas,a quesadilla
plant,plants,a plant
lipstick,lipsticks,a lipstick
brownie,brownies,a brownie
crate,crates,a crate
pantsuit,pantsuits,a pantsuit
cummerbund,cummerbunds,a cummerbund
moss,mosses,a moss
cockroach,cockroaches,a cockroach
lizard,lizards,a lizard
skunk,skunks,a skunk
corset,corsets,a corset
spoon,spoons,a spoon
steering wheel,steering wheels,a steering wheel
videogame,videogames,a videogame
ivy,ivies,an ivy
curtain,curtains,a curtain
pickle,pickles,a pickle
scooter,scooters,a scooter
banana split,banana splits,a banana split
device,devices,a device
sea urchin,sea urchins,a sea urchin
garden tool,garden tools,a garden tool
cherry,cherries,a cherry
stamp,stamps,a stamp
tongs,tong,a tongs
sundae,sundaes,a sundae
bread,breads,a bread
beer,beers,a beer
spinach,spinaches,a spinach
watering can,watering cans,a watering can
mole,moles,a mole
electric chair,electric chairs,an electric chair
scarf,scarves,a scarf
stove,stoves,a stove
jellyfish,jellyfish,a jellyfish
kite,kites,a kite
lightning bug,lightning bugs,a lightning bug
helmet,helmets,a helmet
toothpaste,toothpastes,a toothpaste
mouse,mice,a mouse
moth,moths,a moth
brush,brushes,a brush
drill,drills,a drill
calculator,calculators,a calculator
pancake,pancakes,a pancake
mallet,mallets,a mallet
organ,organs,an organ
chest,chests,a chest
chicken wire,chicken wires,a chicken wire
ring,rings,a ring
inkwell,inkwells,an inkwell
microphone,microphones,a microphone
hawk,hawks,a hawk
jack,jacks,a jack
latte,lattes,a latte
food processor,food processors,a food processor
pony,ponies,a pony
lingerie,lingeries,a lingerie
calzone,calzones,a calzone
cow,cows,a cow
cd player,cd players,a cd player
missile,missiles,a missile
dart,darts,a dart
humvee,humvees,a humvee
dagger,daggers,a dagger
pasta,pastas,a pasta
playing card,playing cards,a playing card
hose,hoses,a hose
pepperoni,pepperonis,a pepperoni
car,cars,a car
golf cart,golf carts,a golf cart
walnut,walnuts,a walnut
stingray,stingrays,a stingray
stockings,stocking,a stockings
green beans,green beanss,a green beans
tamale,tamales,a tamale
gourd,gourds,a gourd
buggy,buggies,a buggy
burrito,burritoes,a burrito
pistachio,pistachios,a pistachio
chipmunk,chipmunks,a chipmunk
bandage,bandages,a bandage
hearse,hearses,a hearse
horn,horns,a horn
place mat,place mats,a place mat
harmonica,harmonicas,a harmonica
mandolin,mandolins,a mandolin
mold,molds,a mold
zipper,zippers,a zipper
ukulele,ukuleles,a ukulele
sandwich,sandwiches,a sandwich
goldfish,goldfish,a goldfish
ball,balls,a ball
shaker,shakers,a shaker
roadsweeper,roadsweepers,a roadsweeper
zebra,zebras,a zebra
sombrero,sombreros,a sombrero
uniform,uniforms,a uniform
chainsaw,chainsaws,a chainsaw
defibrillator,defibrillators,a defibrillator
tapestry,tapestries,a tapestry
headscarf,headscarves,a headscarf
nail file,nail files,a nail file
pumpkin,pumpkins,a pumpkin
smoothie,smoothies,a smoothie
rope,ropes,a rope
ballot box,ballot boxes,a ballot box
doorknob,doorknobs,a doorknob
clothespin,clothespins,a clothespin
lemonade,lemonades,a lemonade
clasp,clasps,a clasp
knife,knives,a knife
