hyponym,hypernym,prefix,stimulus,hypernymy
croissant,vehicle,croissants are a type of,vehicle,False
waffle,vehicle,waffles are a type of,vehicle,False
coffeemaker,vehicle,coffeemakers are a type of,vehicle,False
rollerblade,vehicle,rollerblades are a type of,vehicle,False
shirt,vehicle,shirts are a type of,vehicle,False
bell pepper,vehicle,bell peppers are a type of,vehicle,False
pocket watch,vehicle,pocket watches are a type of,vehicle,False
cow,vehicle,cows are a type of,vehicle,False
chive,vehicle,chives are a type of,vehicle,False
knife,vehicle,knives are a type of,vehicle,False
cornbread,vehicle,cornbread is a type of,vehicle,False
duffel bag,vehicle,duffel bags are a type of,vehicle,False
tool,vehicle,tools are a type of,vehicle,False
plaster cast,vehicle,plaster casts are a type of,vehicle,False
bottle opener,vehicle,bottle openers are a type of,vehicle,False
vise,vehicle,a vise is a type of,vehicle,False
cloak,vehicle,cloaks are a type of,vehicle,False
velcro,vehicle,velcros are a type of,vehicle,False
beaver,vehicle,beavers are a type of,vehicle,False
shelf,vehicle,shelves are a type of,vehicle,False
curling iron,vehicle,curling irons are a type of,vehicle,False
headband,vehicle,headbands are a type of,vehicle,False
cat,vehicle,cats are a type of,vehicle,False
pen,vehicle,pens are a type of,vehicle,False
yogurt,vehicle,yogurts are a type of,vehicle,False
whisk,vehicle,whisks are a type of,vehicle,False
shrimp,vehicle,shrimps are a type of,vehicle,False
spark plug,vehicle,spark plugs are a type of,vehicle,False
koala,vehicle,koalas are a type of,vehicle,False
maggot,vehicle,maggots are a type of,vehicle,False
dumpster,vehicle,dumpsters are a type of,vehicle,False
aloe,vehicle,aloe is a type of,vehicle,False
clover,vehicle,clovers are a type of,vehicle,False
backscratcher,vehicle,backscratchers are a type of,vehicle,False
eggplant,vehicle,eggplants are a type of,vehicle,False
beer,vehicle,beer is a type of,vehicle,False
padlock,vehicle,padlocks are a type of,vehicle,False
basil,vehicle,basil is a type of,vehicle,False
tupperware,vehicle,tupperware is a type of,vehicle,False
scrambled egg,vehicle,scrambled eggs are a type of,vehicle,False
poker,vehicle,pokers are a type of,vehicle,False
sailboat,vehicle,sailboats are a type of,vehicle,True
lemonade,vehicle,lemonades are a type of,vehicle,False
briefcase,vehicle,briefcases are a type of,vehicle,False
strainer,vehicle,strainers are a type of,vehicle,False
taxi,vehicle,taxis are a type of,vehicle,True
spareribs,vehicle,spareribs are a type of,vehicle,False
hat,vehicle,hats are a type of,vehicle,False
groundhog,vehicle,groundhogs are a type of,vehicle,False
handbrake,vehicle,handbrakes are a type of,vehicle,False
first-aid kit,vehicle,first-aid kits are a type of,vehicle,False
grass,vehicle,grass is a type of,vehicle,False
crayfish,vehicle,crayfish are a type of,vehicle,False
laptop,vehicle,laptops are a type of,vehicle,False
hot-water bottle,vehicle,hot-water bottles are a type of,vehicle,False
lampshade,vehicle,lampshades are a type of,vehicle,False
notepad,vehicle,notepads are a type of,vehicle,False
clam,vehicle,clams are a type of,vehicle,False
sunroof,vehicle,sunroofs are a type of,vehicle,False
bee,vehicle,bees are a type of,vehicle,False
moccasin,vehicle,moccasins are a type of,vehicle,False
poinsettia,vehicle,poinsettias are a type of,vehicle,False
otter,vehicle,otters are a type of,vehicle,False
whipped cream,vehicle,whipped cream is a type of,vehicle,False
deer,vehicle,deers are a type of,vehicle,False
kneepad,vehicle,kneepads are a type of,vehicle,False
tuba,vehicle,tubas are a type of,vehicle,False
onion,vehicle,onions are a type of,vehicle,False
plum,vehicle,plums are a type of,vehicle,False
cereal,vehicle,cereals are a type of,vehicle,False
throne,vehicle,thrones are a type of,vehicle,False
freezer,vehicle,freezers are a type of,vehicle,False
gingerbread man,vehicle,gingerbread men are a type of,vehicle,False
marker,vehicle,markers are a type of,vehicle,False
kimono,vehicle,kimonos are a type of,vehicle,False
maple syrup,vehicle,maple syrup is a type of,vehicle,False
sauce,vehicle,sauces are a type of,vehicle,False
celery,vehicle,celeries are a type of,vehicle,False
ukulele,vehicle,ukuleles are a type of,vehicle,False
gyroscope,vehicle,gyroscopes are a type of,vehicle,False
frame,vehicle,frames are a type of,vehicle,False
purse,vehicle,purses are a type of,vehicle,False
marmalade,vehicle,marmalade is a type of,vehicle,False
lime,vehicle,limes are a type of,vehicle,False
jeep,vehicle,jeeps are a type of,vehicle,True
spam,vehicle,spam is a type of,vehicle,False
funnel,vehicle,funnels are a type of,vehicle,False
basket,vehicle,baskets are a type of,vehicle,False
clasp,vehicle,clasps are a type of,vehicle,False
jetski,vehicle,jetskis are a type of,vehicle,True
icemaker,vehicle,icemakers are a type of,vehicle,False
fan,vehicle,fans are a type of,vehicle,False
mixer,vehicle,mixers are a type of,vehicle,False
flamingo,vehicle,flamingoes are a type of,vehicle,False
ladder,vehicle,ladders are a type of,vehicle,False
asparagus,vehicle,asparagus is a type of,vehicle,False
grenade,vehicle,grenades are a type of,vehicle,False
shovel,vehicle,shovels are a type of,vehicle,False
wire,vehicle,wires are a type of,vehicle,False
cart,vehicle,carts are a type of,vehicle,True
scrabble,vehicle,scrabble is a type of,vehicle,False
measuring cup,vehicle,measuring cups are a type of,vehicle,False
bed,vehicle,beds are a type of,vehicle,False
glove,vehicle,gloves are a type of,vehicle,False
punch,vehicle,fruit punches are a type of,vehicle,False
noodle,vehicle,noodles are a type of,vehicle,False
bolt,vehicle,bolts are a type of,vehicle,False
piglet,vehicle,piglets are a type of,vehicle,False
blowfish,vehicle,blowfish are a type of,vehicle,False
tape,vehicle,tapes are a type of,vehicle,False
faucet,vehicle,faucets are a type of,vehicle,False
gum,vehicle,gums are a type of,vehicle,False
calf,vehicle,calves are a type of,vehicle,False
platypus,vehicle,platypuses are a type of,vehicle,False
sloth,vehicle,sloths are a type of,vehicle,False
life jacket,vehicle,life jackets are a type of,vehicle,False
food processor,vehicle,food processors are a type of,vehicle,False
vulture,vehicle,vultures are a type of,vehicle,False
french fries,vehicle,french fries are a type of,vehicle,False
ant,vehicle,ants are a type of,vehicle,False
wind chimes,vehicle,wind chimes are a type of,vehicle,False
anteater,vehicle,anteaters are a type of,vehicle,False
record player,vehicle,record players are a type of,vehicle,False
tarantula,vehicle,tarantulas are a type of,vehicle,False
calamari,vehicle,calamari is a type of,vehicle,False
terrarium,vehicle,terrariums are a type of,vehicle,False
vase,vehicle,vases are a type of,vehicle,False
bat,vehicle,bats are a type of,vehicle,False
toaster oven,vehicle,toaster ovens are a type of,vehicle,False
dough,vehicle,dough is a type of,vehicle,False
abacus,vehicle,abacuses are a type of,vehicle,False
jellyfish,vehicle,jellyfish are a type of,vehicle,False
wafer,vehicle,wafers are a type of,vehicle,False
water filter,vehicle,water filters are a type of,vehicle,False
puppy,vehicle,puppies are a type of,vehicle,False
parrot,vehicle,parrots are a type of,vehicle,False
wheel,vehicle,wheels are a type of,vehicle,False
hamburger,vehicle,hamburgers are a type of,vehicle,False
drawer,vehicle,drawers are a type of,vehicle,False
salad,vehicle,salads are a type of,vehicle,False
scallion,vehicle,scallions are a type of,vehicle,False
catfish,vehicle,catfish are a type of,vehicle,False
bacon,vehicle,bacon is a type of,vehicle,False
aardvark,vehicle,aardvarks are a type of,vehicle,False
bolo tie,vehicle,bolo ties are a type of,vehicle,False
water heater,vehicle,water heaters are a type of,vehicle,False
piecrust,vehicle,piecrusts are a type of,vehicle,False
crank,vehicle,cranks are a type of,vehicle,False
ram,vehicle,rams are a type of,vehicle,False
roll,vehicle,rolls are a type of,vehicle,False
bear,vehicle,bears are a type of,vehicle,False
cot,vehicle,cots are a type of,vehicle,False
hippopotamus,vehicle,hippos are a type of,vehicle,False
poodle,vehicle,poodles are a type of,vehicle,False
ladle,vehicle,ladles are a type of,vehicle,False
chickpea,vehicle,chickpeas are a type of,vehicle,False
birdcage,vehicle,birdcages are a type of,vehicle,False
christmas tree,vehicle,christmas trees are a type of,vehicle,False
shaker,vehicle,shakers are a type of,vehicle,False
sarcophagus,vehicle,sarcophagi are a type of,vehicle,False
boot,vehicle,boots are a type of,vehicle,False
donkey,vehicle,donkeys are a type of,vehicle,False
juicer,vehicle,juicers are a type of,vehicle,False
cotton candy,vehicle,cotton candy is a type of,vehicle,False
peppermint,vehicle,peppermints are a type of,vehicle,False
folder,vehicle,folders are a type of,vehicle,False
slot machine,vehicle,slot machines are a type of,vehicle,False
hubcap,vehicle,hubcaps are a type of,vehicle,False
gazelle,vehicle,gazelles are a type of,vehicle,False
crown,vehicle,crowns are a type of,vehicle,False
spacesuit,vehicle,spacesuits are a type of,vehicle,False
dolphin,vehicle,dolphins are a type of,vehicle,False
cleaver,vehicle,cleavers are a type of,vehicle,False
octopus,vehicle,an octopus is a type of,vehicle,False
wedding cake,vehicle,wedding cakes are a type of,vehicle,False
toast,vehicle,toast is a type of,vehicle,False
zebra,vehicle,zebras are a type of,vehicle,False
ginger,vehicle,ginger is a type of,vehicle,False
souffle,vehicle,souffles are a type of,vehicle,False
doily,vehicle,doilies are a type of,vehicle,False
lizard,vehicle,lizards are a type of,vehicle,False
broccoli,vehicle,broccoli is a type of,vehicle,False
pinball,vehicle,pinballs are a type of,vehicle,False
barrette,vehicle,barrettes are a type of,vehicle,False
rat,vehicle,rats are a type of,vehicle,False
shoe,vehicle,shoes are a type of,vehicle,False
star fruit,vehicle,star fruits are a type of,vehicle,False
washing machine,vehicle,washing machines are a type of,vehicle,False
earwig,vehicle,earwigs are a type of,vehicle,False
dynamite,vehicle,dynamites are a type of,vehicle,False
lego,vehicle,legos are a type of,vehicle,False
parsley,vehicle,parsley is a type of,vehicle,False
notebook,vehicle,notebooks are a type of,vehicle,False
lollipop,vehicle,lollipops are a type of,vehicle,False
goblet,vehicle,goblets are a type of,vehicle,False
brownie,vehicle,brownies are a type of,vehicle,False
doorknocker,vehicle,doorknockers are a type of,vehicle,False
pitcher,vehicle,pitchers are a type of,vehicle,False
gasket,vehicle,gaskets are a type of,vehicle,False
blackberry,vehicle,blackberries are a type of,vehicle,False
tape recorder,vehicle,tape recorders are a type of,vehicle,False
chihuahua,vehicle,chihuahuas are a type of,vehicle,False
locker,vehicle,lockers are a type of,vehicle,False
file,vehicle,files are a type of,vehicle,False
rocket,vehicle,rockets are a type of,vehicle,True
globe,vehicle,globes are a type of,vehicle,False
badger,vehicle,badgers are a type of,vehicle,False
hot chocolate,vehicle,hot chocolate is a type of,vehicle,False
bulldozer,vehicle,bulldozers are a type of,vehicle,True
fountain pen,vehicle,fountain pens are a type of,vehicle,False
candy cane,vehicle,candy canes are a type of,vehicle,False
lamb,vehicle,lambs are a type of,vehicle,False
parfait,vehicle,parfaits are a type of,vehicle,False
burner,vehicle,burners are a type of,vehicle,False
oatmeal,vehicle,oatmeal is a type of,vehicle,False
coconut,vehicle,coconuts are a type of,vehicle,False
swordfish,vehicle,swordfish are a type of,vehicle,False
mustard,vehicle,mustard is a type of,vehicle,False
suitcase,vehicle,suitcases are a type of,vehicle,False
reindeer,vehicle,reindeers are a type of,vehicle,False
mitten,vehicle,mittens are a type of,vehicle,False
watering can,vehicle,watering cans are a type of,vehicle,False
turtle,vehicle,turtles are a type of,vehicle,False
apple tree,vehicle,apple trees are a type of,vehicle,False
mint,vehicle,mint is a type of,vehicle,False
sorbet,vehicle,sorbets are a type of,vehicle,False
locket,vehicle,lockets are a type of,vehicle,False
watch,vehicle,watches are a type of,vehicle,False
rack,vehicle,racks are a type of,vehicle,False
almond,vehicle,almonds are a type of,vehicle,False
duckling,vehicle,ducklings are a type of,vehicle,False
cabbage,vehicle,cabbages are a type of,vehicle,False
tongs,vehicle,tongs are a type of,vehicle,False
popsicle,vehicle,popsicles are a type of,vehicle,False
crab,vehicle,crabs are a type of,vehicle,False
chessboard,vehicle,chessboards are a type of,vehicle,False
lock,vehicle,locks are a type of,vehicle,False
egg,vehicle,eggs are a type of,vehicle,False
eel,vehicle,eels are a type of,vehicle,False
hotplate,vehicle,hotplates are a type of,vehicle,False
cockroach,vehicle,cockroaches are a type of,vehicle,False
nail clippers,vehicle,nail clippers are a type of,vehicle,False
bison,vehicle,bisons are a type of,vehicle,False
doorhandle,vehicle,doorhandles are a type of,vehicle,False
incubator,vehicle,incubators are a type of,vehicle,False
hose,vehicle,hoses are a type of,vehicle,False
urn,vehicle,urns are a type of,vehicle,False
wreath,vehicle,wreaths are a type of,vehicle,False
mallet,vehicle,mallets are a type of,vehicle,False
switch,vehicle,switches are a type of,vehicle,False
revolver,vehicle,revolvers are a type of,vehicle,False
curtain,vehicle,curtains are a type of,vehicle,False
ice-cream cone,vehicle,ice-cream cones are a type of,vehicle,False
tape measure,vehicle,tape measures are a type of,vehicle,False
camper,vehicle,campers are a type of,vehicle,True
tree,vehicle,trees are a type of,vehicle,False
weasel,vehicle,weasels are a type of,vehicle,False
warthog,vehicle,warthogs are a type of,vehicle,False
bin,vehicle,bins are a type of,vehicle,False
music box,vehicle,music boxes are a type of,vehicle,False
peeler,vehicle,peelers are a type of,vehicle,False
grinder,vehicle,grinders are a type of,vehicle,False
scissors,vehicle,scissors are a type of,vehicle,False
squirrel,vehicle,squirrels are a type of,vehicle,False
shopping basket,vehicle,shopping baskets are a type of,vehicle,False
shawl,vehicle,shawls are a type of,vehicle,False
headlight,vehicle,headlights are a type of,vehicle,False
airboat,vehicle,airboats are a type of,vehicle,True
step stool,vehicle,step stools are a type of,vehicle,False
glasses,vehicle,glasses are a type of,vehicle,False
cupcake,vehicle,cupcakes are a type of,vehicle,False
goose,vehicle,geese are a type of,vehicle,False
knob,vehicle,knobs are a type of,vehicle,False
cantaloupe,vehicle,cantaloupes are a type of,vehicle,False
tiara,vehicle,tiaras are a type of,vehicle,False
squash,vehicle,squash is a type of,vehicle,False
grasshopper,vehicle,grasshoppers are a type of,vehicle,False
pomegranate,vehicle,pomegranates are a type of,vehicle,False
raccoon,vehicle,raccoons are a type of,vehicle,False
candle,vehicle,candles are a type of,vehicle,False
car door,vehicle,car doors are a type of,vehicle,False
lawnmower,vehicle,lawnmowers are a type of,vehicle,False
eraser,vehicle,erasers are a type of,vehicle,False
mongoose,vehicle,mongooses are a type of,vehicle,False
water bottle,vehicle,water bottles are a type of,vehicle,False
horse,vehicle,horses are a type of,vehicle,False
peanut butter,vehicle,peanut butter is a type of,vehicle,False
cup,vehicle,cups are a type of,vehicle,False
sprouts,vehicle,sprouts are a type of,vehicle,False
hairbrush,vehicle,a hairbrush is a type of,vehicle,False
wasp,vehicle,wasps are a type of,vehicle,False
barrel,vehicle,barrels are a type of,vehicle,False
sandal,vehicle,sandals are a type of,vehicle,False
polisher,vehicle,polishers are a type of,vehicle,False
binder,vehicle,binders are a type of,vehicle,False
slipper,vehicle,slippers are a type of,vehicle,False
eggbeater,vehicle,eggbeaters are a type of,vehicle,False
crowbar,vehicle,crowbars are a type of,vehicle,False
grapefruit,vehicle,grapefruits are a type of,vehicle,False
barnacle,vehicle,barnacles are a type of,vehicle,False
icepick,vehicle,icepicks are a type of,vehicle,False
helmet,vehicle,helmets are a type of,vehicle,False
torpedo,vehicle,torpedoes are a type of,vehicle,False
microphone,vehicle,microphones are a type of,vehicle,False
glue,vehicle,glue is a type of,vehicle,False
dryer,vehicle,dryers are a type of,vehicle,False
mashed potato,vehicle,mashed potatoes are a type of,vehicle,False
lunchbox,vehicle,lunchboxes are a type of,vehicle,False
chisel,vehicle,chisels are a type of,vehicle,False
lasagna,vehicle,lasagna is a type of,vehicle,False
rose,vehicle,roses are a type of,vehicle,False
fruit,vehicle,fruits are a type of,vehicle,False
clipper,vehicle,clippers are a type of,vehicle,False
squid,vehicle,squids are a type of,vehicle,False
cooker,vehicle,cookers are a type of,vehicle,False
potato,vehicle,potatoes are a type of,vehicle,False
scone,vehicle,scones are a type of,vehicle,False
bracelet,vehicle,bracelets are a type of,vehicle,False
balloon,vehicle,balloons are a type of,vehicle,False
baklava,vehicle,baklavas are a type of,vehicle,False
hearse,vehicle,hearses are a type of,vehicle,True
jar,vehicle,jars are a type of,vehicle,False
hinge,vehicle,hinges are a type of,vehicle,False
pineapple,vehicle,pineapples are a type of,vehicle,False
yo-yo,vehicle,yo-yos are a type of,vehicle,False
cardinal,vehicle,cardinals are a type of,vehicle,False
soldering iron,vehicle,soldering irons are a type of,vehicle,False
eclair,vehicle,eclairs are a type of,vehicle,False
jukebox,vehicle,jukeboxes are a type of,vehicle,False
kettle,vehicle,kettles are a type of,vehicle,False
chipmunk,vehicle,chipmunks are a type of,vehicle,False
muffin,vehicle,muffins are a type of,vehicle,False
gorilla,vehicle,gorillas are a type of,vehicle,False
valve,vehicle,valves are a type of,vehicle,False
jam,vehicle,jams are a type of,vehicle,False
breadstick,vehicle,breadsticks are a type of,vehicle,False
fishbowl,vehicle,fishbowls are a type of,vehicle,False
biscuit,vehicle,biscuits are a type of,vehicle,False
button,vehicle,buttons are a type of,vehicle,False
chariot,vehicle,chariots are a type of,vehicle,True
spring roll,vehicle,spring rolls are a type of,vehicle,False
hedge,vehicle,hedges are a type of,vehicle,False
lion,vehicle,lions are a type of,vehicle,False
puffin,vehicle,puffins are a type of,vehicle,False
pencil,vehicle,pencils are a type of,vehicle,False
worm,vehicle,worms are a type of,vehicle,False
envelope,vehicle,envelopes are a type of,vehicle,False
bush,vehicle,bushes are a type of,vehicle,False
chest,vehicle,chests are a type of,vehicle,False
ivy,vehicle,ivy is a type of,vehicle,False
kangaroo,vehicle,kangaroos are a type of,vehicle,False
coat rack,vehicle,coat racks are a type of,vehicle,False
robot,vehicle,robots are a type of,vehicle,False
printer,vehicle,printers are a type of,vehicle,False
guinea pig,vehicle,guinea pigs are a type of,vehicle,False
oyster,vehicle,oysters are a type of,vehicle,False
brooch,vehicle,brooches are a type of,vehicle,False
coverall,vehicle,coveralls are a type of,vehicle,False
raspberry,vehicle,raspberries are a type of,vehicle,False
airplane,vehicle,airplanes are a type of,vehicle,True
lightbulb,vehicle,lightbulbs are a type of,vehicle,False
corkscrew,vehicle,corkscrews are a type of,vehicle,False
blender,vehicle,blenders are a type of,vehicle,False
polar bear,vehicle,polar bears are a type of,vehicle,False
drum,vehicle,drums are a type of,vehicle,False
bull,vehicle,bulls are a type of,vehicle,False
crate,vehicle,crates are a type of,vehicle,False
casserole,vehicle,casseroles are a type of,vehicle,False
hoe,vehicle,hoes are a type of,vehicle,False
speedboat,vehicle,speedboats are a type of,vehicle,True
ready meal,vehicle,ready meals are a type of,vehicle,False
piano,vehicle,pianos are a type of,vehicle,False
refrigerator,vehicle,refrigerators are a type of,vehicle,False
hummingbird,vehicle,hummingbirds are a type of,vehicle,False
electric chair,vehicle,electric chairs are a type of,vehicle,False
clothes,vehicle,clothes are a type of,vehicle,False
pocketknife,vehicle,pocketknives are a type of,vehicle,False
jacket,vehicle,jackets are a type of,vehicle,False
lobster,vehicle,lobsters are a type of,vehicle,False
lettuce,vehicle,a lettuce is a type of,vehicle,False
cobra,vehicle,cobras are a type of,vehicle,False
mailbox,vehicle,mailboxes are a type of,vehicle,False
cauliflower,vehicle,cauliflowers are a type of,vehicle,False
shredder,vehicle,shredders are a type of,vehicle,False
scallop,vehicle,scallops are a type of,vehicle,False
train,vehicle,trains are a type of,vehicle,True
eye patch,vehicle,eye patches are a type of,vehicle,False
pigeon,vehicle,pigeons are a type of,vehicle,False
pelican,vehicle,pelicans are a type of,vehicle,False
monkey,vehicle,monkeys are a type of,vehicle,False
pitchfork,vehicle,pitchforks are a type of,vehicle,False
pig,vehicle,pigs are a type of,vehicle,False
table,vehicle,tables are a type of,vehicle,False
gondola,vehicle,gondolas are a type of,vehicle,True
crepe,vehicle,crepes are a type of,vehicle,False
flower,vehicle,flowers are a type of,vehicle,False
chair,vehicle,chairs are a type of,vehicle,False
spatula,vehicle,spatulas are a type of,vehicle,False
brussels sprouts,vehicle,brussels sprouts are a type of,vehicle,False
spinach,vehicle,spinach is a type of,vehicle,False
subway,vehicle,subways are a type of,vehicle,True
paper bag,vehicle,paper bags are a type of,vehicle,False
toothbrush,vehicle,toothbrushes are a type of,vehicle,False
hummus,vehicle,hummus is a type of,vehicle,False
figurine,vehicle,figurines are a type of,vehicle,False
weed,vehicle,weeds are a type of,vehicle,False
paper,vehicle,paper is a type of,vehicle,False
snack,vehicle,snacks are a type of,vehicle,False
baseball bat,vehicle,baseball bats are a type of,vehicle,False
calzone,vehicle,calzones are a type of,vehicle,False
ferret,vehicle,ferrets are a type of,vehicle,False
nightstand,vehicle,nightstands are a type of,vehicle,False
wheelchair,vehicle,wheelchairs are a type of,vehicle,True
margarita,vehicle,margaritas are a type of,vehicle,False
patty,vehicle,patties are a type of,vehicle,False
okra,vehicle,okra is a type of,vehicle,False
paintbrush,vehicle,paintbrushes are a type of,vehicle,False
plunger,vehicle,plungers are a type of,vehicle,False
rearview mirror,vehicle,rearview mirrors are a type of,vehicle,False
corn,vehicle,corn is a type of,vehicle,False
hyena,vehicle,hyenas are a type of,vehicle,False
seal,vehicle,seals are a type of,vehicle,False
sewing machine,vehicle,sewing machines are a type of,vehicle,False
fig,vehicle,figs are a type of,vehicle,False
cookie,vehicle,cookies are a type of,vehicle,False
dessert,vehicle,desserts are a type of,vehicle,False
ketchup,vehicle,ketchup is a type of,vehicle,False
meat,vehicle,meat is a type of,vehicle,False
cockatoo,vehicle,cockatoos are a type of,vehicle,False
top hat,vehicle,top hats are a type of,vehicle,False
gopher,vehicle,gophers are a type of,vehicle,False
dog,vehicle,dogs are a type of,vehicle,False
cape,vehicle,capes are a type of,vehicle,False
belt,vehicle,belts are a type of,vehicle,False
taillight,vehicle,taillights are a type of,vehicle,False
orange,vehicle,oranges are a type of,vehicle,False
blowgun,vehicle,blowguns are a type of,vehicle,False
remote control,vehicle,remote controls are a type of,vehicle,False
pencil sharpener,vehicle,pencil sharpeners are a type of,vehicle,False
possum,vehicle,possums are a type of,vehicle,False
accordion,vehicle,accordions are a type of,vehicle,False
beachball,vehicle,beachballs are a type of,vehicle,False
rooster,vehicle,roosters are a type of,vehicle,False
goat,vehicle,goats are a type of,vehicle,False
skirt,vehicle,skirts are a type of,vehicle,False
gumball,vehicle,gumballs are a type of,vehicle,False
thumbtack,vehicle,thumbtacks are a type of,vehicle,False
avocado,vehicle,avocados are a type of,vehicle,False
clove,vehicle,cloves are a type of,vehicle,False
seaweed,vehicle,seaweeds are a type of,vehicle,False
taffy,vehicle,taffy is a type of,vehicle,False
turkey,vehicle,turkeys are a type of,vehicle,False
stew,vehicle,stew is a type of,vehicle,False
frog,vehicle,frogs are a type of,vehicle,False
raft,vehicle,rafts are a type of,vehicle,True
filing cabinet,vehicle,filing cabinets are a type of,vehicle,False
stroller,vehicle,strollers are a type of,vehicle,True
palm tree,vehicle,palm trees are a type of,vehicle,False
apple,vehicle,apples are a type of,vehicle,False
pepper mill,vehicle,pepper mills are a type of,vehicle,False
ladybug,vehicle,ladybugs are a type of,vehicle,False
kayak,vehicle,kayaks are a type of,vehicle,True
fur coat,vehicle,fur coats are a type of,vehicle,False
kebab,vehicle,kebabs are a type of,vehicle,False
honeypot,vehicle,honeypots are a type of,vehicle,False
tamale,vehicle,tamales are a type of,vehicle,False
rollerskate,vehicle,rollerskates are a type of,vehicle,False
sauerkraut,vehicle,sauerkraut is a type of,vehicle,False
sheep,vehicle,sheeps are a type of,vehicle,False
beetle,vehicle,beetles are a type of,vehicle,False
goldfish,vehicle,goldfish are a type of,vehicle,False
seagull,vehicle,seagulls are a type of,vehicle,False
coil,vehicle,coils are a type of,vehicle,False
sundae,vehicle,sundaes are a type of,vehicle,False
enchilada,vehicle,enchiladas are a type of,vehicle,False
checkers,vehicle,checkers are a type of,vehicle,False
cannon,vehicle,cannons are a type of,vehicle,False
quill,vehicle,quills are a type of,vehicle,False
giraffe,vehicle,giraffes are a type of,vehicle,False
sock,vehicle,socks are a type of,vehicle,False
microwave,vehicle,microwaves are a type of,vehicle,False
pedal,vehicle,pedals are a type of,vehicle,False
llama,vehicle,llamas are a type of,vehicle,False
mold,vehicle,molds are a type of,vehicle,False
polygraph,vehicle,polygraphs are a type of,vehicle,False
beet,vehicle,beets are a type of,vehicle,False
raisin,vehicle,raisins are a type of,vehicle,False
string cheese,vehicle,string cheese is a type of,vehicle,False
submarine,vehicle,submarines are a type of,vehicle,True
ball,vehicle,balls are a type of,vehicle,False
stockings,vehicle,stockings are a type of,vehicle,False
timer,vehicle,timers are a type of,vehicle,False
flamethrower,vehicle,flamethrowers are a type of,vehicle,False
air mattress,vehicle,air mattresses are a type of,vehicle,False
kiwi,vehicle,kiwis are a type of,vehicle,False
jackhammer,vehicle,jackhammers are a type of,vehicle,False
cannonball,vehicle,cannonballs are a type of,vehicle,False
ambulance,vehicle,ambulances are a type of,vehicle,True
trumpet,vehicle,trumpets are a type of,vehicle,False
breakfast,vehicle,breakfasts are a type of,vehicle,False
batter,vehicle,batters are a type of,vehicle,False
penlight,vehicle,penlights are a type of,vehicle,False
raincoat,vehicle,raincoats are a type of,vehicle,False
pudding,vehicle,pudding is a type of,vehicle,False
sandbag,vehicle,sandbags are a type of,vehicle,False
scarecrow,vehicle,scarecrows are a type of,vehicle,False
nutcracker,vehicle,nutcrackers are a type of,vehicle,False
rabbit,vehicle,rabbits are a type of,vehicle,False
hairpin,vehicle,hairpins are a type of,vehicle,False
sickle,vehicle,sickles are a type of,vehicle,False
modem,vehicle,modems are a type of,vehicle,False
curry,vehicle,curry is a type of,vehicle,False
grain,vehicle,grains are a type of,vehicle,False
pistachio,vehicle,pistachios are a type of,vehicle,False
pliers,vehicle,pliers are a type of,vehicle,False
donut,vehicle,donuts are a type of,vehicle,False
poppy,vehicle,poppies are a type of,vehicle,False
insole,vehicle,insoles are a type of,vehicle,False
sardine,vehicle,sardines are a type of,vehicle,False
cheetah,vehicle,cheetahs are a type of,vehicle,False
bedpan,vehicle,bedpans are a type of,vehicle,False
pug,vehicle,pugs are a type of,vehicle,False
costume,vehicle,costumes are a type of,vehicle,False
gear,vehicle,gears are a type of,vehicle,False
engine,vehicle,engines are a type of,vehicle,False
coyote,vehicle,coyotes are a type of,vehicle,False
book,vehicle,books are a type of,vehicle,False
toy,vehicle,toys are a type of,vehicle,False
toad,vehicle,toads are a type of,vehicle,False
ink,vehicle,ink is a type of,vehicle,False
caterpillar,vehicle,caterpillars are a type of,vehicle,False
gravy,vehicle,gravy is a type of,vehicle,False
coral,vehicle,corals are a type of,vehicle,False
quiche,vehicle,quiches are a type of,vehicle,False
axe,vehicle,axes are a type of,vehicle,False
grits,vehicle,grits are a type of,vehicle,False
cocktail,vehicle,cocktails are a type of,vehicle,False
pogo stick,vehicle,pogo sticks are a type of,vehicle,False
shortbread,vehicle,shortbread is a type of,vehicle,False
brass knuckles,vehicle,brass knuckles are a type of,vehicle,False
screw,vehicle,screws are a type of,vehicle,False
pizza,vehicle,pizzas are a type of,vehicle,False
cougar,vehicle,cougars are a type of,vehicle,False
rubber band,vehicle,rubber bands are a type of,vehicle,False
sled,vehicle,sleds are a type of,vehicle,True
bracket,vehicle,brackets are a type of,vehicle,False
jumpsuit,vehicle,jumpsuits are a type of,vehicle,False
rolling pin,vehicle,rolling pins are a type of,vehicle,False
banana split,vehicle,banana splits are a type of,vehicle,False
peacock,vehicle,peacocks are a type of,vehicle,False
flan,vehicle,a flan is a type of,vehicle,False
perfume,vehicle,perfumes are a type of,vehicle,False
speedometer,vehicle,speedometers are a type of,vehicle,False
key,vehicle,keys are a type of,vehicle,False
boar,vehicle,boars are a type of,vehicle,False
breadbox,vehicle,breadboxes are a type of,vehicle,False
cruise ship,vehicle,cruise ships are a type of,vehicle,True
ballot box,vehicle,ballot boxes are a type of,vehicle,False
watermelon,vehicle,watermelons are a type of,vehicle,False
cranberry,vehicle,cranberries are a type of,vehicle,False
kazoo,vehicle,kazoos are a type of,vehicle,False
pillbox,vehicle,pillboxes are a type of,vehicle,False
box,vehicle,boxes are a type of,vehicle,False
