conclusion_,premise_,conclusion,premise,is_hyper,sim,prompt,label,position,score
boa,animal,boas,animals,no,high,"Answer the question. Given that animals are daxable, is it true that boas are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((13, 13), (23, 24))",0.3925805985927582
hopscotch,food,hopscotches,food,no,low,"Answer the question. Given that food is daxable, is it true that hopscotches are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((11, 11), (21, 24))",0.15768173336982727
toaster,kitchen equipment,toasters,kitchen equipment,yes,high,"Answer the question. Given that kitchen equipment is daxable, is it true that toasters are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((12, 13), (23, 24))",0.8736957311630249
blender,kitchen equipment,blenders,kitchen equipment,yes,high,"Answer the question. Given that kitchen equipment is daxable, is it true that blenders are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((12, 13), (23, 24))",0.8236426711082458
sword,musical instrument,swords,musical instruments,no,high,"Answer the question. Given that musical instruments are daxable, is it true that swords are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((12, 13), (23, 24))",0.6770017147064209
leopard,animal,leopards,animals,yes,high,"Answer the question. Given that animals are daxable, is it true that leopards are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((12, 12), (22, 24))",0.8778294920921326
lip balm,animal,lip balms,animals,no,low,"Answer the question. Given that animals are daxable, is it true that lip balms are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((12, 12), (22, 24))",0.12338639795780182
insole,accessory,insoles,accessories,yes,low,"Answer the question. Given that accessories are daxable, is it true that insoles are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((13, 13), (23, 24))",0.6563042998313904
pot,kitchen tool,pots,kitchen tools,no,high,"Answer the question. Given that kitchen tools are daxable, is it true that pots are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((12, 13), (23, 24))",0.7630184292793274
shoe,clothing,shoes,clothing,yes,high,"Answer the question. Given that clothing is daxable, is it true that shoes are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((14, 14), (24, 24))",0.7528473138809204
vegetable,food,vegetables,food,yes,high,"Answer the question. Given that food is daxable, is it true that vegetables are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((14, 14), (24, 24))",0.7916086316108704
toga,clothing,togas,clothing,yes,high,"Answer the question. Given that clothing is daxable, is it true that togas are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((13, 13), (23, 24))",0.8401142954826355
switch,electronic device,switches,electronic devices,no,high,"Answer the question. Given that electronic devices are daxable, is it true that switches are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((12, 13), (23, 24))",0.6960378885269165
sorbet,tool,sorbets,tools,no,low,"Answer the question. Given that tools are daxable, is it true that sorbets are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((12, 12), (22, 24))",0.09621840715408325
ravioli,breakfast,ravioli,breakfasts,no,high,"Answer the question. Given that breakfasts are daxable, is it true that ravioli is daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((11, 12), (22, 24))",0.8907232880592346
strawberry,food,strawberries,food,yes,high,"Answer the question. Given that food is daxable, is it true that strawberries are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((13, 13), (23, 24))",0.7765364646911621
baton,tool,batons,tools,no,high,"Answer the question. Given that tools are daxable, is it true that batons are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((13, 13), (23, 24))",0.7408122420310974
ladybug,food,ladybugs,food,no,high,"Answer the question. Given that food is daxable, is it true that ladybugs are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((12, 12), (22, 24))",0.38173866271972656
sea urchin,food,sea urchins,food,no,high,"Answer the question. Given that food is daxable, is it true that sea urchins are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((11, 11), (21, 24))",0.43945053219795227
flatiron,toiletry,flatirons,toiletries,yes,high,"Answer the question. Given that toiletries are daxable, is it true that flatirons are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((11, 12), (22, 24))",0.6666774749755859
button,fastener,buttons,fasteners,yes,high,"Answer the question. Given that fasteners are daxable, is it true that buttons are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((12, 14), (24, 24))",0.7017756104469299
omelet,food,omelets,food,yes,high,"Answer the question. Given that food is daxable, is it true that omelets are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((12, 12), (22, 24))",0.7984303832054138
shaving cream,food,shaving cream,food,no,high,"Answer the question. Given that food is daxable, is it true that shaving cream is daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((12, 12), (22, 24))",0.3762134611606598
garlic,vegetable,garlic,vegetables,yes,high,"Answer the question. Given that vegetables are daxable, is it true that a garlic is daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((13, 13), (24, 24))",0.8248101472854614
whisk,insect,whisks,insects,no,low,"Answer the question. Given that insects are daxable, is it true that whisks are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((12, 13), (23, 24))",0.10314638167619705
pillbox,container,pillboxes,containers,yes,low,"Answer the question. Given that containers are daxable, is it true that pillboxes are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((13, 13), (23, 24))",0.3136180639266968
van,animal,vans,animals,no,low,"Answer the question. Given that animals are daxable, is it true that vans are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((13, 13), (23, 24))",0.12256715446710587
basil,container,basil,containers,no,low,"Answer the question. Given that containers are daxable, is it true that basil is daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((13, 13), (23, 24))",0.11365588754415512
goose,mammal,geese,mammals,no,high,"Answer the question. Given that mammals are daxable, is it true that geese are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((12, 13), (23, 24))",0.906740665435791
noodle,food,noodles,food,yes,high,"Answer the question. Given that food is daxable, is it true that noodles are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((12, 12), (22, 24))",0.7943260669708252
cucumber,plant,cucumbers,plants,no,high,"Answer the question. Given that plants are daxable, is it true that cucumbers are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((11, 11), (21, 24))",0.8635848164558411
hood,headwear,hoods,headwear,yes,high,"Answer the question. Given that headwear is daxable, is it true that hoods are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((12, 13), (23, 24))",0.8409077525138855
measuring cup,food,measuring cups,food,no,high,"Answer the question. Given that food is daxable, is it true that measuring cups are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((13, 13), (23, 24))",0.43404242396354675
pine tree,food,pine trees,food,no,high,"Answer the question. Given that food is daxable, is it true that pine trees are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((13, 13), (23, 24))",0.3407774865627289
bun,outerwear,buns,outerwear,no,low,"Answer the question. Given that outerwear is daxable, is it true that buns are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((12, 13), (23, 24))",0.13310779631137848
stretcher,vehicle,stretchers,vehicles,no,high,"Answer the question. Given that vehicles are daxable, is it true that stretchers are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((13, 13), (23, 24))",0.7494668960571289
dollhouse,furniture,dollhouses,furniture,no,high,"Answer the question. Given that furniture is daxable, is it true that dollhouses are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((12, 12), (22, 24))",0.69581538438797
wetsuit,clothing,wetsuits,clothing,yes,high,"Answer the question. Given that clothing is daxable, is it true that wetsuits are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((12, 12), (22, 24))",0.8279306888580322
flamingo,mammal,flamingoes,mammals,no,high,"Answer the question. Given that mammals are daxable, is it true that flamingoes are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((11, 12), (22, 24))",0.8766832947731018
doorknocker,home decor,doorknockers,home decor,yes,low,"Answer the question. Given that home decor is daxable, is it true that doorknockers are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((9, 10), (20, 24))",0.4894149601459503
cherry,clothing,cherries,clothing,no,low,"Answer the question. Given that clothing is daxable, is it true that cherries are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((13, 13), (23, 24))",0.1561119109392166
baklava,food,baklavas,food,yes,high,"Answer the question. Given that food is daxable, is it true that baklavas are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((11, 11), (21, 24))",0.8060006499290466
ham,seafood,hams,seafood,no,high,"Answer the question. Given that seafood is daxable, is it true that hams are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((12, 13), (23, 24))",0.8530966639518738
beet,tool,beets,tools,no,low,"Answer the question. Given that tools are daxable, is it true that beets are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((13, 13), (23, 24))",0.09672805666923523
bison,livestock,bisons,livestocks,yes,high,"Answer the question. Given that livestocks are daxable, is it true that bisons are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((11, 13), (23, 24))",0.9168158173561096
shrimp,sea animal,shrimps,sea animals,yes,high,"Answer the question. Given that sea animals are daxable, is it true that shrimps are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((11, 12), (22, 24))",0.7918364405632019
chicken,tool,chicken,tools,no,low,"Answer the question. Given that tools are daxable, is it true that a chicken is daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((13, 13), (24, 24))",0.10098759084939957
bikini,tool,bikinis,tools,no,low,"Answer the question. Given that tools are daxable, is it true that bikinis are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((12, 12), (22, 24))",0.10353835672140121
barrette,jewelry,barrettes,jewelry,yes,high,"Answer the question. Given that jewelry is daxable, is it true that barrettes are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((12, 12), (22, 24))",0.885123074054718
squash,fruit,squash,fruits,no,high,"Answer the question. Given that fruits are daxable, is it true that squash is daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((13, 13), (23, 24))",0.8787679672241211
lamb chop,home decor,lamb chops,home decor,no,low,"Answer the question. Given that home decor is daxable, is it true that lamb chops are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((10, 11), (21, 24))",0.2010122686624527
mole,mammal,moles,mammals,yes,high,"Answer the question. Given that mammals are daxable, is it true that moles are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((12, 13), (23, 24))",0.9126342535018921
aircraft carrier,vehicle,aircraft carriers,vehicles,yes,high,"Answer the question. Given that vehicles are daxable, is it true that aircraft carriers are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((12, 12), (22, 24))",0.8724615573883057
teacup,food,teacups,food,no,high,"Answer the question. Given that food is daxable, is it true that teacups are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((12, 12), (22, 24))",0.5059524178504944
quad,breakfast,quads,breakfasts,no,low,"Answer the question. Given that breakfasts are daxable, is it true that quads are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((12, 13), (23, 24))",0.10922755300998688
warthog,bird,warthogs,birds,no,high,"Answer the question. Given that birds are daxable, is it true that warthogs are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((12, 12), (22, 24))",0.8760899305343628
dolphin,sea animal,dolphins,sea animals,yes,high,"Answer the question. Given that sea animals are daxable, is it true that dolphins are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((11, 12), (22, 24))",0.8672212362289429
green beans,plant,green beans,plants,no,high,"Answer the question. Given that plants are daxable, is it true that green beans are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((13, 13), (23, 24))",0.8976017236709595
cotton candy,container,cotton candy,containers,no,low,"Answer the question. Given that containers are daxable, is it true that cotton candy is daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((13, 13), (23, 24))",0.1163661777973175
raccoon,bird,raccoons,birds,no,high,"Answer the question. Given that birds are daxable, is it true that raccoons are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((12, 12), (22, 24))",0.8786028623580933
glue,toiletry,glue,toiletries,no,high,"Answer the question. Given that toiletries are daxable, is it true that glue is daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((12, 13), (23, 24))",0.6350806951522827
paper bag,container,paper bags,containers,yes,low,"Answer the question. Given that containers are daxable, is it true that paper bags are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((13, 13), (23, 24))",0.40990734100341797
firetruck,animal,firetrucks,animals,no,low,"Answer the question. Given that animals are daxable, is it true that firetrucks are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((12, 12), (22, 24))",0.1250307857990265
lego,toy,legos,toys,yes,high,"Answer the question. Given that toys are daxable, is it true that legos are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((13, 13), (23, 24))",0.8570749759674072
whale,tool,whales,tools,no,low,"Answer the question. Given that tools are daxable, is it true that whales are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((13, 13), (23, 24))",0.09999938309192657
parsley,toy,parsley,toys,no,low,"Answer the question. Given that toys are daxable, is it true that parsley is daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((12, 12), (22, 24))",0.13668197393417358
sledgehammer,tool,sledgehammers,tools,yes,high,"Answer the question. Given that tools are daxable, is it true that sledgehammers are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((11, 11), (21, 24))",0.9165794253349304
clover,animal,clovers,animals,no,high,"Answer the question. Given that animals are daxable, is it true that clovers are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((13, 13), (23, 24))",0.4423063099384308
ink,food,ink,food,no,low,"Answer the question. Given that food is daxable, is it true that ink is daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((14, 14), (24, 24))",0.13611793518066406
computer,game,computers,games,yes,low,"Answer the question. Given that games are daxable, is it true that computers are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((14, 14), (24, 24))",0.512021005153656
hairnet,headwear,hairnets,headwear,yes,low,"Answer the question. Given that headwear is daxable, is it true that hairnets are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((11, 12), (22, 24))",0.7904744744300842
shark,furniture,sharks,furniture,no,low,"Answer the question. Given that furniture is daxable, is it true that sharks are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((13, 13), (23, 24))",0.1176319494843483
weasel,home decor,weasels,home decor,no,low,"Answer the question. Given that home decor is daxable, is it true that weasels are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((11, 12), (22, 24))",0.19969409704208374
mustard,condiment,mustard,condiments,yes,low,"Answer the question. Given that condiments are daxable, is it true that mustard is daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((12, 13), (23, 24))",0.7964506149291992
grape,plant,grapes,plants,no,high,"Answer the question. Given that plants are daxable, is it true that grapes are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((13, 13), (23, 24))",0.8808388113975525
camper,vehicle,campers,vehicles,yes,high,"Answer the question. Given that vehicles are daxable, is it true that campers are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((13, 13), (23, 24))",0.8765456080436707
wok,food,woks,food,no,high,"Answer the question. Given that food is daxable, is it true that woks are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((13, 13), (23, 24))",0.49313998222351074
calf,livestock,calves,livestocks,yes,high,"Answer the question. Given that livestocks are daxable, is it true that calves are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((11, 13), (23, 24))",0.9308162331581116
granola,auto part,granola,auto parts,no,low,"Answer the question. Given that auto parts are daxable, is it true that granola is daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((12, 13), (23, 24))",0.09368151426315308
pantyhose,women's clothing,pantyhoses,women's clothes,yes,low,"Answer the question. Given that women's clothes are daxable, is it true that pantyhoses are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((8, 11), (21, 24))",0.8648201823234558
pepperoni,garden tool,pepperonis,garden tools,no,low,"Answer the question. Given that garden tools are daxable, is it true that pepperonis are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((11, 12), (22, 24))",0.12971439957618713
toothbrush,toiletry,toothbrushes,toiletries,yes,high,"Answer the question. Given that toiletries are daxable, is it true that toothbrushes are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((11, 12), (22, 24))",0.7647196054458618
cordon bleu,breakfast,cordon bleu sandwiches,breakfasts,no,high,"Answer the question. Given that breakfasts are daxable, is it true that cordon bleu sandwiches are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((7, 8), (18, 24))",0.8803937435150146
rake,garden tool,rakes,garden tools,yes,high,"Answer the question. Given that garden tools are daxable, is it true that rakes are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((12, 13), (23, 24))",0.8244791030883789
recliner,food,recliners,food,no,low,"Answer the question. Given that food is daxable, is it true that recliners are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((11, 11), (21, 24))",0.14731574058532715
sorbet,clothing,sorbets,clothing,no,low,"Answer the question. Given that clothing is daxable, is it true that sorbets are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((12, 12), (22, 24))",0.15434688329696655
fishbowl,container,fishbowls,containers,yes,low,"Answer the question. Given that containers are daxable, is it true that fishbowls are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((12, 12), (22, 24))",0.16041506826877594
rat,mammal,rats,mammals,yes,high,"Answer the question. Given that mammals are daxable, is it true that rats are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((12, 13), (23, 24))",0.9336038827896118
brush,clothing,brushes,clothing,no,high,"Answer the question. Given that clothing is daxable, is it true that brushes are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((13, 13), (23, 24))",0.621117889881134
sweater,clothing,sweaters,clothing,yes,high,"Answer the question. Given that clothing is daxable, is it true that sweaters are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((13, 13), (23, 24))",0.864496648311615
rope,tool,ropes,tools,yes,high,"Answer the question. Given that tools are daxable, is it true that ropes are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((13, 13), (23, 24))",0.6409285664558411
duct,container,ducts,containers,no,high,"Answer the question. Given that containers are daxable, is it true that ducts are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((12, 12), (22, 24))",0.6961612701416016
wrench,mammal,wrenches,mammals,no,low,"Answer the question. Given that mammals are daxable, is it true that wrenches are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((11, 12), (22, 24))",0.10248339921236038
scissors,office supply,scissors,office supplies,yes,high,"Answer the question. Given that office supplies are daxable, is it true that scissors are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((11, 12), (22, 24))",0.7279825210571289
meat,food,meat,food,yes,high,"Answer the question. Given that food is daxable, is it true that meat is daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((14, 14), (24, 24))",0.7395293712615967
crowbar,tool,crowbars,tools,yes,high,"Answer the question. Given that tools are daxable, is it true that crowbars are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((13, 13), (23, 24))",0.8398613929748535
underwear,clothing,underwear,clothing,yes,high,"Answer the question. Given that clothing is daxable, is it true that underwear is daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((13, 13), (23, 24))",0.8364518284797668
mango,container,mangoes,containers,no,low,"Answer the question. Given that containers are daxable, is it true that mangoes are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((12, 12), (22, 24))",0.11419328302145004
coffee,container,coffee,containers,no,low,"Answer the question. Given that containers are daxable, is it true that coffee is daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((14, 14), (24, 24))",0.11561474949121475
crank,tool,cranks,tools,yes,high,"Answer the question. Given that tools are daxable, is it true that cranks are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((13, 13), (23, 24))",0.8203577399253845
canoe,food,canoes,food,no,low,"Answer the question. Given that food is daxable, is it true that canoes are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((13, 13), (23, 24))",0.1409783810377121
kneepad,protective clothing,kneepads,protective clothing,yes,high,"Answer the question. Given that protective clothing is daxable, is it true that kneepads are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((11, 12), (22, 24))",0.8459251523017883
mulberry,food,mulberries,food,yes,high,"Answer the question. Given that food is daxable, is it true that mulberries are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((13, 13), (23, 24))",0.7832313776016235
duct,tool,ducts,tools,yes,high,"Answer the question. Given that tools are daxable, is it true that ducts are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((12, 12), (22, 24))",0.6901088953018188
kitten,electronic device,kittens,electronic devices,no,low,"Answer the question. Given that electronic devices are daxable, is it true that kittens are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((11, 12), (22, 24))",0.11863963305950165
sundae,dessert,sundaes,desserts,yes,high,"Answer the question. Given that desserts are daxable, is it true that sundaes are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((10, 11), (21, 24))",0.8913286924362183
star fruit,plant,star fruits,plants,no,high,"Answer the question. Given that plants are daxable, is it true that star fruits are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((13, 13), (23, 24))",0.8649296760559082
wheat,food,wheat,food,yes,high,"Answer the question. Given that food is daxable, is it true that wheat is daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((14, 14), (24, 24))",0.6051648259162903
wheel,auto part,wheels,auto parts,yes,high,"Answer the question. Given that auto parts are daxable, is it true that wheels are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((13, 14), (24, 24))",0.7263699173927307
coleslaw,office supply,coleslaws,office supplies,no,low,"Answer the question. Given that office supplies are daxable, is it true that coleslaws are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((10, 11), (21, 24))",0.1042536050081253
hairdryer,food,hairdryers,food,no,low,"Answer the question. Given that food is daxable, is it true that hairdryers are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((11, 11), (21, 24))",0.1337215155363083
bonnet,accessory,bonnets,accessories,yes,low,"Answer the question. Given that accessories are daxable, is it true that bonnets are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((12, 12), (22, 24))",0.7309093475341797
turtleneck,clothing,turtlenecks,clothing,yes,high,"Answer the question. Given that clothing is daxable, is it true that turtlenecks are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((11, 11), (21, 24))",0.8707596063613892
artichoke,food,artichokes,food,yes,high,"Answer the question. Given that food is daxable, is it true that artichokes are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((12, 12), (22, 24))",0.7465382814407349
seahorse,animal,seahorses,animals,yes,high,"Answer the question. Given that animals are daxable, is it true that seahorses are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((11, 11), (21, 24))",0.8303989171981812
barrette,fastener,barrettes,fasteners,yes,low,"Answer the question. Given that fasteners are daxable, is it true that barrettes are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((10, 12), (22, 24))",0.5678041577339172
duck,sea animal,ducks,sea animals,no,high,"Answer the question. Given that sea animals are daxable, is it true that ducks are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((12, 13), (23, 24))",0.814932644367218
pelican,tool,pelicans,tools,no,low,"Answer the question. Given that tools are daxable, is it true that pelicans are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((13, 13), (23, 24))",0.09958869963884354
artichoke,electronic device,artichokes,electronic devices,no,low,"Answer the question. Given that electronic devices are daxable, is it true that artichokes are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((11, 12), (22, 24))",0.12174069136381149
hedgehog,animal,hedgehogs,animals,yes,high,"Answer the question. Given that animals are daxable, is it true that hedgehogs are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((11, 11), (21, 24))",0.8781511783599854
butterfly,food,butterflies,food,no,high,"Answer the question. Given that food is daxable, is it true that butterflies are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((12, 12), (22, 24))",0.3415023386478424
cilantro,food,cilantro,food,yes,high,"Answer the question. Given that food is daxable, is it true that cilantro is daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((11, 11), (21, 24))",0.6897820234298706
porcupine,mammal,porcupines,mammals,yes,high,"Answer the question. Given that mammals are daxable, is it true that porcupines are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((11, 12), (22, 24))",0.9072239398956299
food processor,food,food processors,food,no,high,"Answer the question. Given that food is daxable, is it true that food processors are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((12, 12), (22, 24))",0.46266257762908936
sandpaper,tool,sandpapers,tools,yes,high,"Answer the question. Given that tools are daxable, is it true that sandpapers are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((12, 12), (22, 24))",0.6710060834884644
staple gun,tool,staple guns,tools,yes,high,"Answer the question. Given that tools are daxable, is it true that staple guns are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((11, 11), (21, 24))",0.8845112323760986
grits,food,grits,food,yes,high,"Answer the question. Given that food is daxable, is it true that grits are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((13, 13), (23, 24))",0.7998749017715454
butter,clothing,butter,clothing,no,low,"Answer the question. Given that clothing is daxable, is it true that butter is daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((14, 14), (24, 24))",0.15511585772037506
souffle,dessert,souffles,desserts,yes,high,"Answer the question. Given that desserts are daxable, is it true that souffles are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((11, 12), (22, 24))",0.8362436294555664
poinsettia,plant,poinsettias,plants,yes,high,"Answer the question. Given that plants are daxable, is it true that poinsettias are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((10, 10), (20, 24))",0.8864177465438843
hoe,tool,hoes,tools,yes,high,"Answer the question. Given that tools are daxable, is it true that hoes are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((13, 13), (23, 24))",0.6651250720024109
earwig,insect,earwigs,insects,yes,high,"Answer the question. Given that insects are daxable, is it true that earwigs are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((11, 12), (22, 24))",0.9391871094703674
skunk,mammal,skunks,mammals,yes,high,"Answer the question. Given that mammals are daxable, is it true that skunks are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((11, 12), (22, 24))",0.9122533798217773
ring,plant,rings,plants,no,low,"Answer the question. Given that plants are daxable, is it true that rings are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((14, 14), (24, 24))",0.08366695791482925
broom,tool,brooms,tools,yes,high,"Answer the question. Given that tools are daxable, is it true that brooms are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((13, 13), (23, 24))",0.7630844116210938
headrest,auto part,headrests,auto parts,yes,high,"Answer the question. Given that auto parts are daxable, is it true that headrests are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((11, 12), (22, 24))",0.6806840300559998
popcorn,clothing,popcorn,clothing,no,low,"Answer the question. Given that clothing is daxable, is it true that popcorn is daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((12, 12), (22, 24))",0.16036109626293182
pen,tool,pens,tools,yes,high,"Answer the question. Given that tools are daxable, is it true that pens are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((14, 14), (24, 24))",0.5956765413284302
artichoke,clothing,artichokes,clothing,no,low,"Answer the question. Given that clothing is daxable, is it true that artichokes are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((12, 12), (22, 24))",0.16073253750801086
papaya,protective clothing,papayas,protective clothing,no,low,"Answer the question. Given that protective clothing is daxable, is it true that papayas are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((11, 12), (22, 24))",0.11573327332735062
